timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,    1.596,   1.464,    34.1,   6.193,   4.645
40,1,    3.756,   4.891,   36.35,     7.5,   5.625
40,2,    9.588,    14.2,    32.6,   9.398,   7.049
40,3, 0.008262, 0.06946,   33.35,   5.571,   4.178
45,0,    1.963,     1.8,   34.23,   6.331,   4.749
45,1,    4.686,   6.174,   36.48,   7.889,   5.917
45,2,    12.68,   18.74,   33.23,   10.77,   8.081
45,3,  0.01046, 0.09087,    33.6,   5.617,   4.213
50,0,    2.274,   2.099,   34.23,   6.433,   4.825
50,1,     5.24,   7.005,    36.1,   8.058,   6.043
50,2,    16.33,   24.05,   33.73,   12.35,   9.262
50,3,   0.0125,  0.1131,   33.73,   5.642,   4.231
55,0,    2.507,   2.284,   34.23,   6.503,   4.877
55,1,    5.794,   7.836,   36.23,   8.309,   6.232
55,2,    20.06,   29.49,   33.73,   13.88,   10.41
55,3,  0.01456,  0.1366,   33.85,   5.667,    4.25
60,0,     2.74,   2.469,   34.23,   6.572,   4.929
60,1,    6.358,   8.749,   36.35,   8.576,   6.432
60,2,    23.82,   34.91,   33.85,   15.43,   11.57
60,3,  0.01675,  0.1617,   33.98,   5.692,   4.269
65,0,    2.974,   2.653,   34.35,   6.663,   4.997
65,1,    7.479,   10.44,   36.98,   9.149,   6.862
65,2,    27.06,   39.56,   33.48,   16.68,   12.51
65,3,  0.01887,  0.1857,   33.98,   5.697,   4.272
70,0,    3.299,   2.936,   34.35,   6.764,   5.073
70,1,    8.593,   12.09,    37.1,   9.631,   7.223
70,2,    30.21,   44.05,    33.6,   17.98,   13.48
70,3,  0.02023,  0.2076,   33.98,     5.7,   4.275
75,0,    3.624,   3.219,   34.35,   6.866,   5.149
75,1,    9.732,   13.75,    37.1,    10.1,   7.573
75,2,    33.37,   48.53,    33.6,   19.25,   14.44
75,3,  0.02158,  0.2292,    34.1,   5.725,   4.294
80,0,    4.035,   3.627,   34.48,   7.023,   5.267
80,1,    10.87,   15.41,    37.1,   10.56,   7.923
80,2,    36.46,   52.88,   33.73,   20.51,   15.38
80,3,  0.02281,  0.2496,    34.1,   5.729,   4.297
85,0,    4.446,   4.031,    34.6,    7.18,   5.385
85,1,    12.57,   17.86,    37.6,   11.34,   8.504
85,2,       39,   56.46,   33.35,   21.47,    16.1
85,3,  0.02403,   0.269,    34.1,   5.732,   4.299
90,0,    4.989,   4.621,   34.73,   7.389,   5.542
90,1,    14.29,   20.39,    37.6,   12.05,   9.034
90,2,     41.4,   59.87,   33.48,   22.46,   16.84
90,3,  0.02524,  0.2881,   34.23,   5.756,   4.317
95,0,    5.531,    5.21,   34.85,   7.599,   5.699
95,1,       16,   22.91,    37.6,   12.75,   9.564
95,2,    43.81,   63.25,    33.6,   23.44,   17.58
95,3,  0.02645,   0.307,   34.35,   5.781,   4.335
100,0,    6.073,   5.797,   34.98,   7.807,   5.856
100,1,    18.27,   26.14,    38.1,   13.75,   10.31
100,2,    45.67,   65.85,   33.23,   24.12,   18.09
100,3,  0.02756,  0.3241,   34.35,   5.784,   4.338
105,0,    6.628,   6.404,   34.98,   8.001,   6.001
105,1,    19.98,   28.58,    37.6,   14.36,   10.77
105,2,    48.06,   69.22,   33.73,   25.17,   18.88
105,3,  0.02873,  0.3428,   34.35,   5.787,    4.34
110,0,    7.087,   6.871,    35.1,   8.176,   6.132
110,1,     21.7,   31.02,    37.6,   15.05,   11.29
110,2,    50.56,   72.75,   33.73,   26.17,   19.63
110,3,   0.0299,  0.3619,   34.35,    5.79,   4.343
115,0,    7.545,    7.34,    35.1,   8.331,   6.248
115,1,    22.84,   32.68,    37.1,   15.44,   11.58
115,2,    53.61,   77.06,   34.23,   27.48,   20.61
115,3,  0.03105,   0.382,   34.35,   5.794,   4.345
120,0,    7.897,   7.723,    35.1,   8.453,    6.34
120,1,    23.99,   34.34,    37.1,    15.9,   11.93
120,2,    56.78,   81.54,   34.23,   28.76,   21.57
120,3,  0.03219,  0.4031,   34.48,   5.818,   4.364
125,0,    8.249,   8.108,    35.1,   8.576,   6.432
125,1,    24.57,   35.22,   36.73,   16.08,   12.06
125,2,    60.51,   86.79,   34.73,   30.34,   22.75
125,3,  0.03334,  0.4248,    34.6,   5.843,   4.382
130,0,    8.471,   8.308,    35.1,   8.646,   6.485
130,1,    25.14,   36.01,   36.73,   16.31,   12.23
130,2,    64.37,   92.23,   34.73,   31.89,   23.92
130,3,  0.03451,  0.4464,    34.6,   5.847,   4.385
135,0,    8.692,   8.507,    35.1,   8.717,   6.537
135,1,    25.71,    36.8,   36.73,   16.54,    12.4
135,2,    68.22,   97.67,   34.73,   33.44,   25.08
135,3,  0.03564,  0.4676,    34.6,   5.851,   4.388
140,0,    8.914,   8.707,   35.23,   8.808,   6.606
140,1,    26.27,   37.59,   36.85,   16.79,   12.59
140,2,    72.08,   103.1,   34.73,   34.99,   26.24
140,3,  0.03677,  0.4893,    34.6,   5.854,   4.391
145,0,    9.237,   9.045,   35.23,   8.918,   6.688
145,1,    26.84,   38.39,   36.98,   17.03,   12.78
145,2,    75.84,   108.4,   34.73,   36.49,   27.37
145,3,  0.03788,  0.5104,    34.6,   5.858,   4.394
150,0,    9.559,   9.379,   35.35,   9.048,   6.786
150,1,    27.97,   39.96,    37.6,   17.59,   13.19
150,2,    79.05,   112.9,   34.35,   37.71,   28.29
150,3,  0.03899,  0.5318,    34.6,   5.862,   4.396
155,0,       10,   9.885,   35.35,   9.206,   6.904
155,1,     29.1,   41.54,   37.73,   18.06,   13.55
155,2,    82.15,   117.3,   34.35,   38.96,   29.22
155,3,  0.04017,   0.553,   34.73,   5.886,   4.415
160,0,    10.43,    10.3,   35.48,   9.369,   7.026
160,1,     30.8,   43.87,   38.35,   18.84,   14.13
160,2,    84.69,   120.9,   33.98,   39.92,   29.94
160,3,  0.04136,  0.5737,    34.6,   5.869,   4.402
165,0,    11.19,   11.19,   35.48,   9.642,   7.232
165,1,     32.5,    46.2,   38.35,   19.51,   14.63
165,2,    86.89,     124,   33.98,   40.81,    30.6
165,3,   0.0425,  0.5931,    34.6,   5.873,   4.404
170,0,    11.96,   12.07,   35.48,   9.916,   7.437
170,1,     34.2,   48.53,   38.48,    20.2,   15.15
170,2,    89.09,   127.1,   33.98,   41.69,   31.27
170,3,  0.04357,  0.6112,    34.6,   5.876,   4.407
175,0,    12.72,   12.95,   35.48,   10.19,   7.643
175,1,     35.9,   50.86,    38.6,   20.89,   15.67
175,2,    91.31,   130.2,   33.98,   42.58,   31.93
175,3,  0.04464,  0.6292,    34.6,   5.879,   4.409
180,0,    13.48,   13.83,   35.48,   10.46,   7.848
180,1,     37.6,   53.17,    38.6,   21.56,   16.17
180,2,    93.52,   133.3,   33.98,   43.46,    32.6
180,3,  0.04572,  0.6473,    34.6,   5.882,   4.412
185,0,    14.13,   14.56,   35.48,    10.7,   8.021
185,1,    39.31,   55.56,    38.6,   22.24,   16.68
185,2,    95.83,   136.5,    34.1,   44.41,   33.31
185,3,  0.04679,   0.665,   34.73,   5.906,    4.43
190,0,    14.79,    15.3,   35.35,   10.91,    8.18
190,1,    40.45,   57.17,    38.1,   22.62,   16.97
190,2,     98.7,   140.5,    34.6,   45.64,   34.23
190,3,  0.04786,  0.6833,   34.85,    5.93,   4.448
195,0,    15.32,   15.86,   35.35,   11.09,   8.317
195,1,     41.6,   58.78,    38.1,   23.08,   17.31
195,2,    101.7,   144.7,   34.73,   46.84,   35.13
195,3,  0.04892,  0.7019,   34.85,   5.933,    4.45
200,0,    15.86,   16.43,   35.35,   11.27,   8.455
200,1,    42.74,   60.43,    38.1,   23.54,   17.66
200,2,    104.6,   148.8,   34.73,   48.03,   36.02
200,3,  0.04999,  0.7203,   34.98,   5.958,   4.468
205,0,    16.09,   16.56,   35.35,   11.33,     8.5
205,1,    43.88,   62.07,    38.1,   24.01,   18.01
205,2,    107.4,   152.7,   34.35,   49.06,    36.8
205,3,   0.5767,   1.499,   35.48,   6.258,   4.694
210,0,    16.31,    16.7,   35.35,   11.39,   8.545
210,1,    45.02,   63.71,    38.1,   24.47,   18.35
210,2,    110.2,   156.5,   34.48,   50.19,   37.64
210,3,    1.103,   2.278,   35.48,   6.476,   4.857
215,0,    16.55,   16.91,   35.48,   11.49,   8.617
215,1,    46.72,   66.14,    38.6,   25.24,   18.93
215,2,    112.4,   159.6,    34.1,      51,   38.25
215,3,     1.63,   3.057,   35.48,   6.694,    5.02
220,0,    16.81,   17.16,   35.48,   11.57,    8.68
220,1,    48.41,   68.57,    38.6,   25.93,   19.45
220,2,    114.6,   162.6,    34.1,   51.89,   38.91
220,3,    2.157,   3.835,    35.6,   6.932,   5.199
225,0,    17.07,   17.42,    35.6,   11.68,   8.761
225,1,    50.09,   70.91,    38.6,    26.6,   19.95
225,2,    116.8,   165.7,    34.1,   52.77,   39.58
225,3,    2.684,   4.613,    35.6,   7.149,   5.362
230,0,    17.34,   17.67,   35.73,   11.79,   8.842
230,1,    52.35,   74.02,    39.1,   27.58,   20.68
230,2,    118.5,     168,    33.6,   53.35,   40.01
230,3,     3.21,   5.389,    35.6,   7.367,   5.525
235,0,    17.62,   17.96,   35.85,    11.9,   8.929
235,1,     54.6,   77.14,    39.1,   28.47,   21.35
235,2,    120.1,   170.3,    33.6,      54,    40.5
235,3,    3.737,   6.165,    35.6,   7.584,   5.688
240,0,    17.91,   18.24,   35.85,      12,       9
240,1,    56.29,   79.47,    38.6,   29.06,    21.8
240,2,    122.4,   173.2,    34.1,   54.95,   41.21
240,3,    4.263,   6.942,    35.6,   7.801,   5.851
245,0,    18.18,    18.5,   35.85,   12.09,   9.066
245,1,    57.99,   81.88,    38.6,   29.75,   22.31
245,2,    125.2,     177,    34.6,   56.12,   42.09
245,3,    4.264,   6.959,    35.1,   7.721,    5.79
250,0,    18.44,   18.76,   35.85,   12.18,   9.131
250,1,    59.69,    84.3,    38.6,   30.43,   22.82
250,2,      128,   180.7,    34.6,   57.21,    42.9
250,3,    4.265,   6.978,    35.1,   7.724,   5.793
255,0,     18.7,   18.93,   35.73,   12.23,    9.17
255,1,    60.83,   85.92,    38.1,   30.81,   23.11
255,2,    131.3,   185.1,    35.1,   58.59,   43.94
255,3,    4.266,   6.997,    35.1,   7.727,   5.795
260,0,    18.94,   19.08,   35.73,   12.29,   9.218
260,1,    61.42,   86.79,    37.6,   30.97,   23.23
260,2,    135.3,   190.3,    35.6,    60.2,   45.15
260,3,    4.268,   7.017,    35.1,   7.731,   5.798
265,0,    19.16,    19.2,   35.73,   12.35,   9.261
265,1,       62,   87.65,    37.6,   31.21,   23.41
265,2,    139.2,   195.5,    35.6,   61.72,   46.29
265,3,    4.269,   7.038,    35.1,   7.735,   5.801
270,0,    19.39,   19.33,    35.6,   12.39,    9.29
270,1,    62.02,   87.75,    37.1,   31.14,   23.36
270,2,    143.7,   201.4,    36.1,   63.54,   47.66
270,3,     4.27,   7.059,    35.1,   7.738,   5.804
275,0,    19.67,   19.54,    35.6,   12.47,   9.351
275,1,    62.05,   87.94,    37.1,   31.18,   23.39
275,2,    148.2,   207.3,    36.1,   65.26,   48.94
275,3,    4.271,    7.08,    35.1,   7.742,   5.806
280,0,    19.95,   19.75,    35.6,   12.55,   9.412
280,1,    62.64,   88.88,    37.6,   31.52,   23.64
280,2,      152,   212.4,   35.73,   66.69,   50.02
280,3,    4.272,     7.1,    35.1,   7.745,   5.809
285,0,    20.57,   20.43,    35.6,   12.77,   9.575
