timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,   0.8586, 0.01854,   34.48,   5.892,   4.419
40,1,   0.3858,   0.132,    37.1,    6.27,   4.702
40,2,   0.6223,  0.1231,   31.85,   5.433,   4.074
40,3,   0.1785,0.001443,   33.73,   5.651,   4.238
45,0,   0.9042, 0.02265,   34.73,   5.942,   4.456
45,1,    0.419,  0.1551,   37.23,     6.3,   4.725
45,2,    0.735,  0.1871,   32.48,   5.566,   4.175
45,3,   0.2045,0.001673,    34.1,   5.718,   4.288
50,0,     0.93, 0.02664,   34.85,   5.968,   4.476
50,1,   0.3136,  0.1745,   36.98,   6.244,   4.683
50,2,   0.7356,  0.2649,   32.98,   5.663,   4.247
50,3,   0.2056,0.001737,   34.35,    5.76,    4.32
55,0,   0.9331, 0.02971,   34.85,   5.969,   4.477
55,1,   0.2646,  0.1852,   36.73,   6.196,   4.647
55,2,   0.8771,   0.357,   33.48,   5.785,   4.339
55,3,   0.2067,0.001804,    34.6,   5.801,   4.351
60,0,   0.9253, 0.03212,   34.85,   5.968,   4.476
60,1,   0.2777,  0.1858,   36.48,   6.156,   4.617
60,2,   0.9332,  0.4635,   33.98,   5.895,   4.421
60,3,   0.2078,0.001873,   34.85,   5.843,   4.382
65,0,    0.907, 0.03373,   34.98,   5.986,   4.489
65,1,   0.2909,  0.1864,    36.6,    6.18,   4.635
65,2,    0.975,  0.5737,    34.1,   5.941,   4.456
65,3,   0.2089,0.001944,   34.98,   5.864,   4.398
70,0,   0.8888, 0.03537,   35.23,   6.025,   4.519
70,1,   0.3047,  0.1869,   36.73,   6.203,   4.652
70,2,   0.9942,  0.6864,    34.1,   5.963,   4.473
70,3,   0.2109,0.002096,    35.1,   5.886,   4.414
75,0,   0.8641, 0.03698,   35.35,   6.042,   4.531
75,1,   0.3223,  0.1877,   36.85,   6.227,    4.67
75,2,   0.9922,  0.8013,    34.1,   5.982,   4.487
75,3,   0.2126,0.002248,    35.1,   5.886,   4.414
