timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,   0.5307,  0.3115,   46.23,   7.845,   5.883
40,1,   0.6708,  0.1844,   47.35,   8.034,   6.026
40,2,   0.6268,  0.1878,   43.73,   7.423,   5.567
40,3,   0.4821,  0.2591,   45.23,   7.661,   5.746
45,0,   0.6656,  0.4059,   46.23,   7.883,   5.912
45,1,    0.804,  0.2292,   47.35,   8.064,   6.048
45,2,   0.7366,  0.2383,    43.6,   7.429,   5.572
45,3,   0.6342,   0.321,   45.23,   7.697,   5.773
50,0,   0.6592,  0.4973,   46.23,   7.897,   5.923
50,1,   0.7397,  0.2702,   47.23,   8.039,   6.029
50,2,   0.7138,  0.2815,   43.35,   7.391,   5.543
50,3,   0.6309,  0.3776,   44.98,   7.664,   5.748
55,0,   0.6211,  0.5973,   46.23,   7.907,    5.93
55,1,   0.8799,  0.3064,   47.35,   8.089,   6.067
55,2,   0.6439,  0.3289,   43.48,   7.408,   5.556
55,3,    0.643,  0.4256,   44.98,   7.674,   5.755
60,0,   0.4847,  0.6954,   46.23,   7.901,   5.926
60,1,   0.9523,  0.3422,   47.35,   8.107,   6.081
60,2,   0.6243,  0.3753,   43.48,   7.412,   5.559
60,3,   0.5555,  0.4688,   44.85,   7.646,   5.734
65,0,   0.4305,  0.7975,   46.23,   7.909,   5.932
65,1,   0.9165,  0.3771,   47.35,   8.107,    6.08
65,2,   0.6995,  0.4237,    43.6,   7.454,    5.59
65,3,   0.5611,  0.5138,   44.85,   7.654,   5.741
70,0,   0.5445,  0.8969,    46.1,   7.924,   5.943
70,1,    1.021,  0.4127,   47.23,    8.11,   6.082
70,2,   0.7073,  0.4707,   43.48,   7.442,   5.582
70,3,   0.7235,  0.5575,   44.73,   7.668,   5.751
75,0,   0.6444,  0.9954,    46.1,   7.957,   5.967
75,1,    1.107,  0.4484,   47.23,    8.13,   6.098
75,2,   0.6976,  0.5173,   43.48,   7.448,   5.586
75,3,   0.8684,  0.6008,   44.73,   7.699,   5.774
80,0,   0.6041,   1.098,    46.1,   7.967,   5.975
80,1,     1.09,  0.4833,   47.23,   8.133,     6.1
80,2,   0.7854,   0.566,   43.35,    7.45,   5.588
80,3,   0.8866,   0.646,   44.73,    7.71,   5.782
85,0,     0.47,   1.196,    46.1,   7.961,   5.971
85,1,    1.164,   0.519,   47.23,   8.151,   6.113
85,2,   0.7622,  0.6124,   43.35,   7.454,   5.591
85,3,   0.7958,  0.6891,    44.6,   7.681,   5.761
90,0,   0.4281,   1.299,    46.1,   7.971,   5.978
90,1,    1.146,  0.5538,   47.23,   8.154,   6.116
