timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,    0.639,  0.4146,    46.6,   7.942,   5.957
40,1,    1.018,  0.1346,   48.23,    8.23,   6.172
40,2,   0.7527,  0.2457,    43.6,   7.433,   5.575
40,3,   0.6705,  0.2411,   44.98,   7.648,   5.736
45,0,   0.8555,  0.5368,   46.73,    8.02,   6.015
45,1,    1.192,  0.1585,    48.6,   8.325,   6.244
45,2,   0.8013,  0.3168,   43.73,   7.474,   5.605
45,3,   0.7748,  0.3082,    45.1,   7.697,   5.773
50,0,   0.8921,  0.6632,   46.85,   8.068,   6.051
50,1,    1.152,  0.1736,   48.98,   8.383,   6.288
50,2,    0.861,  0.3882,   43.85,   7.517,   5.637
50,3,   0.7237,  0.3729,    45.1,   7.699,   5.775
55,0,   0.9823,  0.7881,   46.98,   8.124,   6.093
55,1,    1.191,  0.1848,    49.1,   8.413,    6.31
55,2,   0.9271,  0.4613,   43.98,   7.561,    5.67
55,3,    0.729,  0.4388,    45.1,   7.711,   5.783
60,0,   0.9084,  0.9122,    47.1,   8.153,   6.115
60,1,    1.186,  0.1903,   49.35,   8.454,   6.341
60,2,    0.814,  0.5354,    44.1,   7.575,   5.681
60,3,   0.8063,  0.5053,   45.23,   7.756,   5.817
65,0,    1.073,   1.036,    47.1,   8.201,   6.151
65,1,    1.008,  0.1944,    49.6,   8.467,    6.35
65,2,   0.9299,    0.61,    44.1,   7.607,   5.705
65,3,   0.8961,  0.5719,   45.23,   7.782,   5.837
70,0,    1.013,   1.159,    47.1,   8.212,   6.159
70,1,    1.017,  0.1988,    49.6,   8.469,   6.352
70,2,    1.036,   0.685,    44.1,   7.637,   5.728
70,3,   0.9837,  0.6386,   45.35,   7.829,   5.872
75,0,   0.9837,   1.281,    47.1,   8.227,   6.171
75,1,   0.9526,  0.2032,    49.6,   8.459,   6.344
75,2,   0.8854,  0.7616,    44.1,   7.625,   5.718
75,3,   0.8703,   0.706,   45.48,   7.842,   5.881
80,0,   0.9619,   1.403,    47.1,   8.244,   6.183
80,1,   0.8732,  0.2077,   49.85,   8.488,   6.366
80,2,   0.9517,  0.8388,    44.1,   7.648,   5.736
80,3,   0.7623,  0.7736,    45.6,   7.856,   5.892
85,0,   0.9495,   1.523,    47.1,   8.262,   6.197
85,1,   0.7597,  0.2123,   49.85,    8.47,   6.353
85,2,    1.015,  0.9163,    44.1,   7.672,   5.754
85,3,   0.6601,  0.8412,   45.73,   7.871,   5.903
90,0,   0.9258,   1.645,    47.1,   8.278,   6.209
90,1,   0.6781,  0.2168,   49.85,   8.457,   6.343
90,2,   0.8707,   0.993,    44.1,   7.661,   5.745
90,3,   0.7741,  0.9084,   45.85,   7.922,   5.942
95,0,   0.9109,   1.767,   47.23,   8.317,   6.238
95,1,   0.6071,  0.2213,    50.1,   8.488,   6.366
95,2,   0.9508,    1.07,    44.1,   7.687,   5.765
95,3,   0.8947,  0.9755,   45.98,   7.974,   5.981
100,0,   0.8928,   1.888,   47.23,   8.334,   6.251
100,1,   0.5169,  0.2259,    50.1,   8.474,   6.355
100,2,    1.024,   1.147,    44.1,   7.712,   5.784
