timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,    1.004,  0.3812,    47.1,   8.081,   6.061
40,1,   0.8573,  0.2807,   49.23,   8.394,   6.295
40,2,   0.6744,  0.2375,   44.23,   7.523,   5.642
40,3,    1.064,  0.2278,   45.98,   7.878,   5.908
45,0,    1.084,  0.4953,    47.1,   8.113,   6.085
45,1,   0.9363,  0.3577,   49.48,   8.461,   6.346
45,2,   0.8688,  0.3002,   44.23,   7.566,   5.674
45,3,    1.181,  0.2872,   45.98,   7.907,    5.93
50,0,    1.185,  0.6136,    47.1,    8.15,   6.112
50,1,   0.9741,  0.4279,   49.73,   8.521,   6.391
50,2,   0.8826,  0.3591,   44.23,   7.578,   5.683
50,3,    1.115,  0.3428,   45.98,   7.905,   5.929
55,0,    1.058,  0.7328,    47.1,   8.148,   6.111
55,1,   0.9939,  0.4975,   49.35,   8.474,   6.355
55,2,   0.8933,  0.4161,    44.1,   7.568,   5.676
55,3,    1.047,  0.3963,   45.98,   7.903,   5.927
60,0,    1.175,  0.8541,    47.1,   8.188,   6.141
60,1,   0.8874,  0.5642,    49.6,   8.509,   6.381
60,2,   0.9357,  0.4736,    44.1,   7.585,   5.689
60,3,    1.022,  0.4498,    46.1,   7.929,   5.946
65,0,    1.126,  0.9781,    47.1,   8.201,   6.151
65,1,    0.747,  0.6188,    49.6,   8.494,   6.371
65,2,   0.8364,  0.5325,    44.1,   7.578,   5.684
65,3,    1.079,  0.5046,    46.1,   7.947,    5.96
70,0,    1.106,   1.103,    47.1,   8.218,   6.164
70,1,    0.745,  0.6627,   49.35,    8.46,   6.345
70,2,    1.005,  0.5922,    44.1,   7.616,   5.712
70,3,   0.9576,  0.5601,    46.1,   7.936,   5.952
75,0,    1.099,   1.229,    47.1,   8.238,   6.179
75,1,   0.8628,  0.7041,    49.1,   8.444,   6.333
75,2,   0.9708,  0.6523,    44.1,   7.621,   5.715
75,3,    0.857,   0.616,    46.1,   7.929,   5.947
80,0,    1.095,   1.355,    47.1,   8.258,   6.194
80,1,   0.7194,  0.7434,    49.1,   8.427,    6.32
80,2,   0.9414,  0.7124,    44.1,   7.626,   5.719
80,3,   0.7619,  0.6719,    46.1,   7.922,   5.942
85,0,    1.108,   1.482,    47.1,   8.282,   6.211
85,1,    0.649,  0.7797,    49.1,   8.421,   6.316
85,2,   0.9333,   0.773,    44.1,   7.634,   5.726
85,3,   0.6877,  0.7281,    46.1,   7.919,   5.939
90,0,    1.123,   1.609,    47.1,   8.305,   6.229
90,1,   0.5942,  0.8171,   48.85,   8.377,   6.283
90,2,   0.9225,  0.8336,    44.1,   7.643,   5.732
90,3,   0.8344,  0.7844,    46.1,   7.953,   5.965
95,0,    1.148,   1.737,    47.1,   8.331,   6.248
95,1,   0.5287,  0.8523,    49.1,   8.413,    6.31
95,2,   0.9242,  0.8945,    44.1,   7.653,    5.74
95,3,   0.7694,   0.841,    46.1,   7.952,   5.964
100,0,   0.9676,   1.865,    47.1,   8.322,   6.242
100,1,    0.645,  0.8866,    49.1,   8.439,   6.329
100,2,   0.9446,  0.9557,    44.1,   7.667,    5.75
100,3,   0.7227,  0.8978,    46.1,   7.953,   5.965
105,0,     1.02,   1.993,    47.1,   8.352,   6.264
105,1,   0.7573,  0.9193,    49.1,   8.463,   6.347
105,2,   0.9768,   1.017,    44.1,   7.682,   5.762
105,3,   0.6875,  0.9549,    46.1,   7.957,   5.968
110,0,   0.8851,   2.118,    47.1,   8.351,   6.263
110,1,   0.8162,  0.9526,    49.1,   8.478,   6.359
110,2,      0.8,   1.084,    44.1,   7.664,   5.748
110,3,   0.7927,    1.01,   46.23,   8.005,   6.003
115,0,    1.021,   2.235,    47.1,   8.393,   6.294
115,1,   0.6526,  0.9889,    49.1,   8.457,   6.343
115,2,   0.8473,   1.159,    44.1,   7.684,   5.763
115,3,   0.9815,   1.061,   46.35,   8.065,   6.049
120,0,   0.9907,   2.345,    47.1,   8.406,   6.304
120,1,   0.6209,   1.029,   48.85,   8.417,   6.312
120,2,   0.9086,   1.244,    44.1,   7.709,   5.782
120,3,    1.035,   1.107,   46.48,   8.103,   6.077
125,0,   0.9867,   2.446,    47.1,   8.422,   6.317
125,1,   0.7724,   1.072,    48.6,   8.407,   6.306
125,2,   0.7254,   1.337,    44.1,   7.694,    5.77
125,3,    1.201,   1.151,   46.48,   8.138,   6.103
130,0,    0.806,   2.539,    47.1,   8.408,   6.306
130,1,   0.7872,   1.118,    48.6,   8.418,   6.313
130,2,   0.7691,    1.44,    44.1,   7.718,   5.789
130,3,    1.178,    1.19,    46.6,   8.161,   6.121
135,0,   0.8788,   2.625,    47.1,   8.434,   6.325
135,1,   0.8168,   1.169,   48.35,   8.389,   6.292
135,2,   0.7942,    1.55,    44.1,   7.741,   5.806
135,3,    1.127,   1.226,    46.6,   8.159,   6.119
140,0,   0.9805,   2.701,    47.1,   8.464,   6.348
140,1,   0.7957,   1.224,    48.1,   8.353,   6.265
140,2,   0.7979,    1.67,    44.1,   7.761,   5.821
140,3,    1.183,   1.259,   46.73,   8.194,   6.146
145,0,   0.9012,    2.77,    47.1,   8.462,   6.346
145,1,    0.808,   1.283,    48.1,   8.365,   6.274
145,2,   0.7934,   1.798,    44.1,   7.782,   5.836
145,3,     1.05,   1.288,   46.85,   8.198,   6.148
150,0,    1.064,   2.835,    47.1,     8.5,   6.375
150,1,   0.7716,   1.344,    48.1,   8.369,   6.277
150,2,   0.7825,    1.93,    44.1,   7.802,   5.852
150,3,    1.048,   1.314,   46.73,   8.181,   6.136
155,0,   0.9639,   2.899,    47.1,   8.494,    6.37
155,1,   0.9171,   1.405,    48.1,   8.404,   6.303
155,2,   0.7481,   2.061,    44.1,   7.818,   5.864
155,3,   0.9304,   1.342,   46.73,   8.166,   6.125
160,0,   0.8215,   2.963,    47.1,   8.481,   6.361
160,1,    1.018,   1.467,    48.1,   8.431,   6.323
160,2,   0.6876,   2.192,    44.1,    7.83,   5.872
160,3,   0.9314,   1.369,   46.73,   8.171,   6.128
165,0,    0.899,   3.028,    47.1,   8.505,   6.378
165,1,   0.8878,   1.529,    48.1,   8.419,   6.315
165,2,   0.8631,   2.323,    44.1,   7.881,   5.911
165,3,   0.9144,   1.393,   46.85,   8.193,   6.145
170,0,     0.96,   3.093,    47.1,   8.526,   6.394
170,1,   0.9626,   1.591,    48.1,   8.442,   6.332
170,2,   0.8151,   2.453,    44.1,   7.895,   5.921
170,3,   0.9573,   1.416,   46.85,   8.204,   6.153
175,0,   0.9688,   3.158,    47.1,   8.538,   6.403
175,1,   0.9837,   1.654,    48.1,   8.456,   6.342
175,2,   0.9567,   2.582,    44.1,    7.94,   5.955
175,3,   0.9594,   1.439,   46.98,   8.229,   6.172
180,0,    0.944,   3.222,    47.1,   8.544,   6.408
180,1,   0.9703,   1.717,    48.1,   8.465,   6.348
180,2,   0.8593,   2.711,    44.1,   7.945,   5.959
180,3,    1.036,   1.461,   46.98,   8.245,   6.184
185,0,    1.092,   3.287,    47.1,    8.58,   6.435
185,1,    0.905,    1.78,    48.1,   8.464,   6.348
185,2,   0.9546,   2.839,    44.1,   7.982,   5.987
185,3,    1.048,   1.484,   46.98,   8.251,   6.188
190,0,    0.994,   3.351,    47.1,   8.574,   6.431
190,1,     1.04,   1.843,    48.1,   8.497,   6.373
190,2,    1.046,   2.966,    44.1,   8.019,   6.014
190,3,   0.8756,   1.507,    47.1,   8.247,   6.185
195,0,     1.09,   3.415,    47.1,   8.601,   6.451
195,1,   0.9219,   1.906,    48.1,   8.488,   6.366
195,2,    1.109,   3.093,    44.1,    8.05,   6.038
195,3,   0.8437,   1.531,   46.98,   8.225,   6.169
200,0,    1.177,   3.479,    47.1,   8.626,    6.47
200,1,    1.018,   1.968,    48.1,   8.514,   6.386
200,2,    1.164,   3.219,    44.1,   8.081,    6.06
200,3,   0.7893,   1.555,   46.98,    8.22,   6.165
205,0,    1.035,   3.543,    47.1,   8.613,    6.46
205,1,    1.109,   2.031,    48.1,    8.54,   6.405
205,2,   0.9895,   3.346,    44.1,   8.073,   6.054
205,3,   0.7379,    1.58,   46.98,   8.216,   6.162
210,0,    1.126,   3.607,    47.1,   8.639,   6.479
210,1,   0.9854,   2.094,    48.1,    8.53,   6.397
210,2,    1.048,   3.472,    44.1,   8.103,   6.077
210,3,   0.6963,   1.604,   46.98,   8.213,   6.159
215,0,    1.051,   3.672,    47.1,   8.637,   6.478
215,1,    1.143,   2.157,    48.1,   8.567,   6.425
215,2,   0.9377,     3.6,   44.23,   8.127,   6.095
215,3,   0.8144,   1.624,   46.98,   8.236,   6.177
220,0,   0.9963,   3.736,    47.1,   8.639,   6.479
220,1,    1.099,    2.22,    48.1,    8.57,   6.427
220,2,   0.8481,   3.727,   44.35,   8.154,   6.116
220,3,   0.8256,   1.642,   46.98,    8.24,    6.18
225,0,   0.9708,   3.802,    47.1,   8.645,   6.484
225,1,    1.085,   2.283,    48.1,   8.578,   6.433
225,2,   0.7864,   3.855,   44.35,   8.165,   6.124
225,3,   0.9474,   1.658,   46.98,   8.263,   6.198
230,0,   0.9533,   3.867,    47.1,   8.653,    6.49
230,1,    1.079,   2.347,    48.1,   8.588,   6.441
230,2,   0.7313,   3.984,   44.48,   8.198,   6.149
230,3,    1.079,   1.672,   46.98,   8.288,   6.216
235,0,   0.9363,   3.932,    47.1,   8.661,   6.496
235,1,    1.073,    2.41,    48.1,   8.597,   6.448
235,2,   0.6773,   4.112,   44.48,   8.211,   6.158
235,3,    1.205,   1.685,   46.98,   8.311,   6.233
240,0,   0.9165,   3.997,    47.1,   8.669,   6.502
240,1,    1.065,   2.474,    48.1,   8.606,   6.455
240,2,   0.6211,    4.24,   44.48,   8.223,   6.167
240,3,    1.125,   1.699,   46.98,     8.3,   6.225
245,0,   0.9037,   4.062,    47.1,   8.678,   6.508
245,1,    1.064,   2.537,    48.1,   8.617,   6.463
245,2,    0.795,   4.368,   44.48,   8.273,   6.205
245,3,    1.023,   1.713,   46.98,   8.285,   6.214
250,0,   0.8673,   4.127,    47.1,   8.682,   6.512
250,1,    1.039,   2.601,    48.1,   8.623,   6.467
250,2,   0.7228,   4.496,    44.6,   8.303,   6.227
250,3,   0.8996,   1.728,   46.98,   8.267,     6.2
255,0,   0.8177,   4.191,    47.1,   8.685,   6.514
255,1,    1.001,   2.664,    48.1,   8.628,   6.471
255,2,   0.8612,   4.624,   44.48,   8.327,   6.245
255,3,   0.7482,   1.744,   46.85,   8.224,   6.168
260,0,   0.9597,   4.256,    47.1,   8.719,   6.539
260,1,   0.9309,   2.727,    48.1,   8.626,    6.47
260,2,   0.9683,   4.751,   44.35,   8.345,   6.259
260,3,   0.6906,   1.762,   46.85,   8.217,   6.163
265,0,    0.879,    4.32,    47.1,   8.716,   6.537
265,1,    1.085,    2.79,    48.1,   8.663,   6.497
265,2,   0.8524,   4.878,   44.35,   8.347,    6.26
265,3,   0.5974,   1.781,   46.85,   8.205,   6.154
270,0,   0.7937,   4.384,    47.1,   8.713,   6.535
270,1,     1.01,   2.853,    48.1,   8.661,   6.495
270,2,   0.9552,   5.006,   44.23,   8.364,   6.273
270,3,   0.6653,   1.799,   46.73,   8.198,   6.149
275,0,   0.7221,   4.449,    47.1,   8.712,   6.534
275,1,   0.9487,   2.917,    48.1,   8.661,   6.496
275,2,   0.8492,   5.133,   44.23,   8.368,   6.276
275,3,    0.642,   1.818,   46.85,   8.218,   6.164
280,0,   0.6438,   4.513,    47.1,    8.71,   6.532
280,1,   0.8811,    2.98,    48.1,    8.66,   6.495
280,2,   0.9597,   5.261,   44.23,   8.408,   6.306
280,3,    0.809,   1.837,   46.85,   8.249,   6.187
285,0,   0.7779,   4.578,    47.1,   8.743,   6.557
285,1,   0.8022,   3.043,    48.1,   8.658,   6.493
285,2,   0.8356,   5.388,   44.23,   8.408,   6.306
285,3,   0.9263,   1.857,   46.85,   8.272,   6.204
290,0,   0.7045,   4.642,    47.1,   8.741,   6.556
290,1,   0.9632,   3.107,    48.1,   8.695,   6.521
290,2,   0.9502,   5.516,    44.1,   8.428,   6.321
290,3,    1.021,   1.876,   46.85,   8.291,   6.218
295,0,   0.8369,   4.707,    47.1,   8.774,    6.58
295,1,   0.8824,    3.17,    48.1,   8.692,   6.519
295,2,   0.8239,   5.643,    44.1,   8.428,   6.321
295,3,    1.061,   1.896,   46.98,   8.322,   6.241
300,0,   0.7767,   4.772,    47.1,   8.775,   6.581
300,1,    0.832,   3.234,    48.1,   8.694,   6.521
300,2,   0.7284,   5.771,    44.1,   8.433,   6.325
300,3,    1.001,   1.914,   46.98,   8.315,   6.236
305,0,   0.7195,   4.837,    47.1,   8.776,   6.582
305,1,   0.7852,   3.297,    48.1,   8.697,   6.523
305,2,   0.8602,   5.899,   44.23,   8.497,   6.373
305,3,   0.9845,   1.932,   46.98,   8.315,   6.236
310,0,   0.9008,   4.902,    47.1,   8.817,   6.613
310,1,   0.7531,   3.361,    48.1,   8.702,   6.527
310,2,   0.7825,   6.028,   44.35,   8.527,   6.395
310,3,   0.8226,   1.948,    47.1,   8.312,   6.234
315,0,   0.8798,   4.967,    47.1,   8.824,   6.618
315,1,   0.7426,   3.424,    48.1,   8.711,   6.533
315,2,   0.9483,   6.156,   44.35,   8.576,   6.432
315,3,   0.7251,   1.963,    47.1,   8.298,   6.223
320,0,   0.8728,   5.032,    47.1,   8.834,   6.626
320,1,   0.7455,   3.488,    48.1,   8.722,   6.542
320,2,   0.9044,   6.285,   44.35,    8.59,   6.442
320,3,   0.6706,   1.976,   46.98,    8.27,   6.203
325,0,   0.8548,   5.098,    47.1,   8.842,   6.632
325,1,   0.7364,   3.551,    48.1,   8.731,   6.548
325,2,    1.074,   6.414,   44.35,    8.64,    6.48
325,3,   0.5724,    1.99,   46.98,   8.256,   6.192
330,0,   0.8242,   5.163,    47.1,   8.848,   6.636
330,1,   0.7151,   3.615,    48.1,   8.738,   6.554
330,2,    1.007,   6.542,   44.35,    8.65,   6.487
330,3,   0.6315,   2.005,   46.85,   8.248,   6.186
335,0,   0.7922,   5.228,    47.1,   8.853,    6.64
335,1,   0.6923,   3.678,    48.1,   8.745,   6.559
335,2,     0.94,    6.67,   44.35,    8.66,   6.495
335,3,   0.7241,   2.021,   46.85,   8.266,   6.199
340,0,   0.7526,   5.294,    47.1,   8.858,   6.643
340,1,   0.8852,   3.742,    48.1,   8.788,   6.591
340,2,     1.09,   6.799,   44.35,   8.706,    6.53
340,3,   0.8013,   2.037,   46.85,   8.281,   6.211
345,0,   0.9138,   5.359,    47.1,   8.895,   6.672
345,1,   0.8308,   3.805,    48.1,   8.789,   6.592
345,2,   0.9945,   6.927,   44.23,   8.691,   6.518
345,3,   0.8183,   2.056,   46.85,   8.287,   6.216
350,0,   0.8166,   5.423,    47.1,    8.89,   6.667
350,1,    0.742,   3.868,    48.1,   8.785,   6.589
350,2,    1.091,   7.054,    44.1,   8.707,   6.531
350,3,   0.9451,   2.079,   46.85,   8.312,   6.234
355,0,   0.7191,   5.488,    47.1,   8.885,   6.663
355,1,   0.8765,   3.931,    48.1,   8.818,   6.613
355,2,   0.9621,   7.182,    44.1,   8.707,    6.53
355,3,   0.9878,   2.101,   46.85,   8.323,   6.242
360,0,   0.8446,   5.553,    47.1,   8.916,   6.687
360,1,   0.7865,   3.994,    48.1,   8.813,    6.61
360,2,    1.057,   7.309,    44.1,   8.744,   6.558
360,3,   0.8321,   2.123,   46.98,   8.322,   6.241
365,0,   0.7544,   5.618,    47.1,   8.912,   6.684
365,1,   0.9285,   4.057,    48.1,   8.848,   6.636
365,2,   0.9374,   7.437,    44.1,   8.746,   6.559
365,3,   0.9712,   2.145,   46.98,   8.349,   6.261
370,0,   0.9011,   5.683,    47.1,   8.947,    6.71
370,1,   0.8597,    4.12,    48.1,   8.847,   6.635
370,2,   0.8306,   7.565,    44.1,   8.749,   6.562
370,3,    1.006,   2.167,    47.1,   8.379,   6.284
375,0,   0.8506,   5.748,    47.1,    8.95,   6.712
375,1,   0.8185,   4.184,    48.1,    8.85,   6.638
375,2,   0.9717,   7.693,    44.1,   8.794,   6.596
375,3,   0.8697,   2.185,    47.1,   8.359,   6.269
380,0,   0.8171,   5.813,    47.1,   8.955,   6.716
380,1,   0.7953,   4.248,    48.1,   8.857,   6.643
380,2,   0.9047,   7.821,    44.1,   8.804,   6.603
380,3,   0.7625,   2.202,    47.1,   8.344,   6.258
385,0,   0.8139,   5.878,    47.1,   8.965,   6.724
385,1,   0.8027,   4.311,    48.1,   8.869,   6.652
385,2,   0.8653,    7.95,   44.23,    8.84,    6.63
385,3,    0.721,   2.216,    47.1,   8.339,   6.255
390,0,    0.847,   5.944,    47.1,   8.982,   6.736
390,1,   0.8466,   4.376,    48.1,   8.887,   6.665
390,2,     0.86,    8.08,   44.35,   8.882,   6.661
390,3,   0.5675,   2.226,    47.1,   8.316,   6.237
395,0,    0.905,    6.01,    47.1,   9.002,   6.752
395,1,   0.9152,    4.44,    48.1,   8.909,   6.682
395,2,   0.8784,   8.209,   44.48,   8.927,   6.695
395,3,   0.5246,   2.234,    47.1,    8.31,   6.232
400,0,   0.9985,   6.076,    47.1,   9.029,   6.772
400,1,    1.019,   4.504,    48.1,   8.937,   6.703
400,2,   0.7063,    8.34,    44.6,   8.941,   6.706
400,3,   0.5977,    2.24,    47.1,   8.323,   6.242
405,0,    1.093,   6.143,    47.1,   9.056,   6.792
405,1,   0.9008,   4.568,    48.1,   8.928,   6.696
405,2,   0.7592,    8.47,    44.6,   8.972,   6.729
405,3,   0.4578,   2.245,   46.98,    8.28,    6.21
410,0,   0.9474,   6.209,    47.1,   9.043,   6.782
410,1,   0.9889,   4.632,    48.1,   8.954,   6.715
410,2,   0.7956,     8.6,    44.6,   8.999,   6.749
410,3,   0.2522,   2.251,   46.98,   8.246,   6.185
415,0,    1.017,   6.275,    47.1,   9.065,   6.799
415,1,    1.069,   4.696,    48.1,   8.978,   6.733
415,2,   0.8238,    8.73,   44.73,   9.046,   6.785
415,3,   0.4444,   2.258,   46.98,    8.28,    6.21
420,0,    1.079,   6.342,    47.1,   9.087,   6.815
420,1,   0.9174,    4.76,    48.1,   8.963,   6.722
420,2,   0.8449,    8.86,   44.85,   9.092,   6.819
420,3,    0.589,   2.266,   46.98,   8.305,   6.229
425,0,   0.8847,   6.408,    47.1,   9.065,   6.799
425,1,   0.9562,   4.824,    48.1,    8.98,   6.735
425,2,   0.8351,   8.989,   44.85,   9.112,   6.834
425,3,   0.6533,   2.276,   46.98,   8.317,   6.238
430,0,   0.9082,   6.474,    47.1,    9.08,    6.81
430,1,   0.9893,   4.888,    48.1,   8.996,   6.747
430,2,   0.8203,   9.118,   44.85,   9.131,   6.849
430,3,   0.7215,   2.287,   46.98,   8.331,   6.248
435,0,   0.9282,   6.539,    47.1,   9.095,   6.821
435,1,   0.7955,   4.951,    48.1,   8.974,   6.731
435,2,   0.8021,   9.247,   44.85,    9.15,   6.862
435,3,   0.7857,   2.298,   46.98,   8.343,   6.257
440,0,   0.7246,   6.605,    47.1,   9.072,   6.804
440,1,   0.8263,   5.015,    48.1,    8.99,   6.743
440,2,   0.7842,   9.377,   44.85,   9.168,   6.876
440,3,   0.8309,   2.309,   46.98,   8.352,   6.264
445,0,   0.7672,   6.671,    47.1,    9.09,   6.817
445,1,   0.8803,   5.079,    48.1,    9.01,   6.757
445,2,   0.7871,   9.506,   44.98,   9.211,   6.909
445,3,   0.9067,   2.318,    47.1,   8.387,   6.291
450,0,   0.8368,   6.737,    47.1,   9.112,   6.834
450,1,   0.7375,   5.143,    48.1,   8.997,   6.748
450,2,    0.816,   9.636,    45.1,   9.259,   6.944
450,3,    1.058,   2.325,   47.23,   8.435,   6.326
455,0,   0.6767,   6.803,    47.1,   9.097,   6.822
455,1,   0.8119,   5.208,    48.1,    9.02,   6.765
455,2,   0.8395,   9.766,   44.98,   9.263,   6.948
455,3,    1.023,   2.332,   47.23,    8.43,   6.323
460,0,   0.7392,   6.869,    47.1,   9.118,   6.839
460,1,   0.8849,   5.272,    48.1,   9.043,   6.782
460,2,   0.8628,   9.896,   44.98,   9.289,   6.967
460,3,    1.035,    2.34,   47.23,   8.433,   6.325
465,0,   0.8328,   6.935,    47.1,   9.145,   6.859
465,1,   0.7661,   5.336,    48.1,   9.034,   6.775
465,2,   0.9155,   10.03,   44.98,   9.319,    6.99
465,3,    1.125,   2.345,   47.35,    8.47,   6.352
470,0,   0.7094,   7.002,    47.1,   9.135,   6.851
470,1,   0.8781,   5.401,    48.1,   9.063,   6.797
470,2,   0.9747,   10.16,   44.98,   9.351,   7.013
470,3,    1.215,    2.35,   47.48,   8.507,    6.38
475,0,   0.7937,   7.068,    47.1,    9.16,    6.87
475,1,   0.9729,   5.465,    48.1,    9.09,   6.817
475,2,    1.019,   10.29,   44.98,    9.38,   7.035
475,3,    1.285,   2.356,   47.48,   8.519,    6.39
480,0,    0.872,   7.135,    47.1,   9.184,   6.888
480,1,   0.8364,   5.529,    48.1,   9.078,   6.808
480,2,    1.059,   10.42,   44.98,   9.408,   7.056
