timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,   0.7485,  0.2135,   41.35,   7.052,   5.289
40,1,   0.7049, 0.08328,   43.23,   7.336,   5.502
40,2,    0.785,  0.2684,   37.85,   6.484,   4.863
40,3,   0.6607, 0.05302,   40.73,   6.906,    5.18
45,0,   0.7905,  0.2802,   41.98,   7.174,   5.381
45,1,   0.7098,  0.1025,   43.73,   7.423,   5.567
45,2,   0.8924,  0.3515,   38.73,   6.661,   4.996
45,3,   0.8089,  0.0641,    41.6,   7.079,   5.309
50,0,   0.8991,  0.3492,    42.1,   7.225,   5.419
50,1,   0.6891,  0.1204,   43.73,   7.422,   5.567
50,2,   0.9877,  0.4419,   38.73,   6.692,   5.019
50,3,   0.7728, 0.07122,   41.85,   7.116,   5.337
55,0,   0.8869,  0.4135,   42.23,   7.254,   5.441
55,1,   0.8539,  0.1452,   43.73,   7.454,   5.591
55,2,    1.202,  0.5279,   39.35,   6.847,   5.135
55,3,   0.7271, 0.07834,    42.1,   7.151,   5.363
60,0,   0.8625,  0.4826,    42.1,   7.241,   5.431
60,1,   0.8272,  0.1768,   43.85,   7.476,   5.607
60,2,     1.19,  0.6057,   39.98,   6.962,   5.221
60,3,   0.6504, 0.08543,   42.35,   7.181,   5.386
65,0,    0.811,  0.5554,   42.23,   7.265,   5.449
65,1,   0.9901,  0.2177,   43.73,   7.489,   5.617
65,2,    1.081,   0.673,   40.35,   7.017,   5.263
65,3,   0.7992, 0.09255,   42.48,   7.228,   5.421
70,0,   0.9851,   0.629,   42.23,   7.307,    5.48
70,1,   0.8619,  0.2689,   43.48,   7.434,   5.576
70,2,   0.8839,  0.7304,   40.73,   7.057,   5.292
70,3,   0.7947,  0.0997,    42.6,   7.249,   5.437
75,0,    0.941,  0.7044,   42.23,   7.312,   5.484
75,1,   0.8967,  0.3303,   43.48,    7.45,   5.588
75,2,   0.8254,  0.7776,    41.1,   7.117,   5.338
75,3,   0.6379,  0.1068,   42.73,   7.245,   5.434
80,0,   0.9162,  0.7817,   42.23,    7.32,    5.49
80,1,   0.8564,  0.4015,   43.35,   7.435,   5.576
80,2,   0.6975,  0.8144,    41.6,   7.185,   5.389
80,3,   0.7763,  0.1139,   42.98,   7.311,   5.483
85,0,   0.8988,  0.8607,   42.35,   7.352,   5.514
85,1,   0.9883,  0.4828,   43.48,   7.491,   5.618
85,2,   0.6788,  0.8416,   41.85,   7.228,   5.421
85,3,   0.6794,   0.121,    43.1,   7.317,   5.488
90,0,   0.8273,  0.9431,   42.23,   7.333,   5.499
90,1,   0.9254,  0.5725,    43.6,   7.516,   5.637
90,2,   0.5769,  0.8586,   42.35,   7.298,   5.473
90,3,   0.8072,  0.1281,   43.23,    7.36,    5.52
95,0,   0.8789,   1.032,   42.35,   7.377,   5.533
95,1,   0.8161,  0.6652,   43.73,   7.534,   5.651
95,2,    0.494,  0.8685,   42.48,   7.306,    5.48
95,3,   0.7234,  0.1351,   43.35,   7.368,   5.526
100,0,   0.9402,   1.122,   42.48,   7.423,   5.567
100,1,   0.7923,  0.7537,   43.85,   7.566,   5.674
100,2,   0.5411,  0.8816,    42.6,   7.337,   5.503
100,3,    0.682,  0.1421,   43.48,   7.383,   5.537
105,0,    1.006,   1.213,    42.6,    7.47,   5.602
105,1,   0.7652,  0.8416,   43.98,   7.597,   5.698
105,2,   0.6088,  0.8946,   42.73,   7.371,   5.529
105,3,   0.6829,  0.1491,    43.6,   7.405,   5.554
110,0,   0.8602,   1.304,   42.73,   7.482,   5.611
110,1,   0.8404,  0.9266,   44.35,   7.686,   5.765
110,2,   0.5906,  0.9108,   42.48,   7.329,   5.497
110,3,   0.6806,  0.1561,   43.73,   7.427,    5.57
115,0,   0.9721,   1.395,   42.98,   7.557,   5.668
115,1,   0.8652,   1.007,   44.35,   7.704,   5.778
115,2,   0.7069,  0.9295,    42.6,   7.373,    5.53
