timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,   0.9109,  0.2019,   39.85,   6.827,    5.12
40,1,   0.6694, 0.06524,    42.1,   7.139,   5.354
40,2,    1.142,  0.3064,    35.6,   6.175,   4.631
40,3,   0.9652,  0.3187,   37.73,   6.501,   4.876
45,0,     0.98,  0.2659,   40.48,   6.953,   5.215
45,1,   0.8442, 0.07985,   42.85,   7.296,   5.472
45,2,    1.161,  0.4033,    36.1,   6.277,   4.708
45,3,    1.181,  0.4174,   38.35,   6.658,   4.994
50,0,    1.049,  0.3336,    40.6,   6.997,   5.248
50,1,   0.8435, 0.09087,    43.1,   7.339,   5.504
50,2,    1.108,   0.509,   35.98,   6.265,   4.699
50,3,     1.12,  0.5233,   38.35,   6.666,   4.999
55,0,    1.114,  0.4031,   40.73,    7.04,    5.28
55,1,   0.8281,  0.1013,   43.35,    7.38,   5.535
55,2,    1.039,  0.6155,    36.1,   6.292,   4.719
55,3,     1.05,  0.6299,    38.6,   6.713,   5.035
60,0,      1.1,  0.4737,   40.73,    7.05,   5.287
60,1,   0.7934,  0.1117,   43.48,   7.397,   5.548
60,2,   0.9663,  0.7222,    36.1,   6.298,   4.724
60,3,   0.9761,  0.7366,   38.85,    6.76,    5.07
65,0,    1.043,  0.5451,   40.85,   7.073,   5.305
65,1,   0.7556,   0.122,    43.6,   7.413,    5.56
65,2,    0.891,   0.829,   36.23,   6.324,   4.743
65,3,   0.9001,  0.8434,    39.1,   6.807,   5.105
70,0,    1.205,  0.6164,   40.98,   7.133,    5.35
70,1,   0.7324,  0.1322,   43.73,   7.432,   5.574
70,2,   0.8141,  0.9363,   36.35,    6.35,   4.763
70,3,   0.8229,   0.951,    39.1,   6.812,   5.109
75,0,    1.138,  0.6875,    41.1,   7.154,   5.366
75,1,   0.6741,  0.1426,   43.85,   7.444,   5.583
75,2,    0.736,   1.044,   36.48,   6.376,   4.782
75,3,   0.7441,   1.059,    39.1,   6.817,   5.113
80,0,    1.073,  0.7577,    41.1,   7.155,   5.366
80,1,   0.7703,  0.1542,    43.6,   7.421,   5.566
80,2,   0.6684,   1.153,    36.6,   6.404,   4.803
80,3,   0.7388,   1.166,   39.48,   6.897,   5.172
85,0,    1.012,  0.8235,    41.1,   7.156,   5.367
85,1,   0.8102,  0.1687,    43.6,    7.43,   5.572
85,2,    0.821,   1.252,   37.23,    6.55,   4.912
85,3,   0.6732,   1.265,    39.6,   6.923,   5.192
90,0,    1.011,   0.885,    41.1,   7.166,   5.374
90,1,   0.7934,  0.1886,   43.48,    7.41,   5.557
90,2,   0.9572,   1.341,   37.73,   6.671,   5.003
90,3,   0.7307,   1.356,   39.73,   6.969,   5.226
95,0,   0.9982,  0.9446,    41.1,   7.174,    5.38
95,1,   0.8991,  0.2137,   43.35,    7.41,   5.558
95,2,    1.031,   1.419,   38.35,     6.8,     5.1
95,3,   0.8399,    1.44,   39.85,   7.022,   5.266
100,0,    1.078,  0.9998,   41.35,   7.238,   5.428
100,1,   0.9439,  0.2447,   43.23,   7.402,   5.552
100,2,    1.118,   1.486,   38.48,   6.847,   5.135
