timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,   0.8509,0.002277,   33.85,   5.784,   4.338
40,1,    0.232,0.002708,   37.35,   6.264,   4.698
40,2,   0.7037, 0.01213,   31.35,   5.344,   4.008
40,3,  0.08629,0.0006203,   32.73,   5.469,   4.101
45,0,   0.9587,0.002769,    34.1,   5.844,   4.383
45,1,   0.3303,0.003473,   37.98,   6.385,   4.789
45,2,   0.8082,  0.0141,   31.48,   5.383,   4.037
45,3,  0.09882,0.0007154,   32.85,   5.492,   4.119
50,0,   0.9049,0.003126,    34.1,   5.835,   4.376
50,1,   0.4257,0.004193,    38.1,   6.422,   4.816
50,2,   0.7854, 0.01466,    31.6,     5.4,    4.05
50,3,  0.09984,0.0007391,   32.98,   5.513,   4.134
55,0,   0.8505, 0.00347,   34.23,   5.846,   4.385
55,1,   0.4723, 0.00492,    38.1,    6.43,   4.822
55,2,   0.7618, 0.01519,   31.73,   5.417,   4.063
55,3,   0.1004,0.0007599,    33.1,   5.534,    4.15
60,0,   0.7592, 0.00384,   33.98,    5.79,   4.342
60,1,   0.5747,0.005516,    37.6,   6.363,   4.773
60,2,   0.7273, 0.01588,   32.35,   5.516,   4.137
60,3,    0.101,0.000783,   33.35,   5.575,   4.181
65,0,   0.8069,0.004171,   34.23,   5.839,    4.38
65,1,   0.7321,0.006259,   38.23,   6.494,    4.87
65,2,   0.5679, 0.01645,   31.85,   5.406,   4.054
65,3,   0.1016,0.0008052,   33.23,   5.555,   4.166
70,0,   0.8888,0.004539,    34.1,   5.832,   4.374
70,1,   0.8633,0.006863,    37.6,   6.412,   4.809
70,2,   0.5882, 0.01715,   32.35,   5.493,   4.119
70,3,   0.1022,0.0008271,   33.48,   5.596,   4.197
75,0,   0.7142,0.004899,    34.1,   5.803,   4.352
75,1,    1.011,0.007467,    37.6,   6.436,   4.827
75,2,   0.6085, 0.01786,   32.35,   5.496,   4.122
75,3,   0.1028,0.0008495,    33.6,   5.617,   4.213
80,0,   0.7133,0.005257,    34.1,   5.803,   4.352
80,1,    1.159,0.008076,    37.6,   6.461,   4.846
80,2,   0.6822, 0.01859,   32.35,   5.508,   4.131
80,3,   0.1034,0.0008717,    33.6,   5.617,   4.213
85,0,   0.7123,0.005607,    34.1,   5.803,   4.352
85,1,    1.079,0.008697,    37.6,   6.448,   4.836
85,2,   0.7559, 0.01931,   32.35,   5.521,   4.141
85,3,    0.104,0.0008929,    33.6,   5.617,   4.213
90,0,   0.8675,0.005951,    34.1,   5.829,   4.372
90,1,    0.999,0.009321,    37.6,   6.435,   4.826
90,2,   0.9411, 0.02004,   32.35,   5.552,   4.164
90,3,   0.1046,0.0009147,    33.6,   5.618,   4.213
95,0,    1.023,0.006299,    34.1,   5.855,   4.391
95,1,   0.9089,0.009961,    37.6,    6.42,   4.815
95,2,    1.126, 0.02076,   32.35,   5.583,   4.187
95,3,   0.1052,0.0009393,    33.6,   5.618,   4.213
100,0,    1.108,0.006602,   34.35,   5.911,   4.433
100,1,   0.8392, 0.01072,   38.35,   6.533,     4.9
100,2,    1.322, 0.02132,   31.73,   5.511,   4.134
100,3,   0.1058,0.0009638,   33.48,   5.597,   4.198
105,0,    1.042,0.006984,    34.1,   5.858,   4.394
105,1,   0.7144, 0.01133,   37.73,   6.408,   4.806
105,2,    1.494, 0.02196,   32.35,   5.644,   4.233
105,3,   0.1063,0.0009911,    33.6,   5.618,   4.213
110,0,   0.9428,0.007329,   34.35,   5.883,   4.413
110,1,   0.6409, 0.01209,   38.35,   6.501,   4.875
110,2,    1.486, 0.02246,   31.85,    5.56,    4.17
110,3,    0.107, 0.00102,   33.48,   5.597,   4.198
115,0,    1.077,0.007711,    34.1,   5.864,   4.398
115,1,   0.5407, 0.01272,   37.73,    6.38,   4.785
115,2,    1.477, 0.02296,    32.1,     5.6,     4.2
115,3,   0.3154,0.001209,   33.98,   5.715,   4.286
120,0,    1.163,0.008086,    34.1,   5.878,   4.409
120,1,   0.4404, 0.01333,   37.73,   6.363,   4.772
120,2,    1.501, 0.02344,   32.23,   5.625,   4.219
120,3,   0.5238,0.001399,   33.98,    5.75,   4.313
125,0,    1.248,0.008463,    34.1,   5.893,    4.42
125,1,    0.563, 0.01396,   37.73,   6.384,   4.788
125,2,    1.525, 0.02393,   32.23,   5.629,   4.222
125,3,   0.7322,0.001591,   33.98,   5.785,   4.339
130,0,    1.213, 0.00885,    34.1,   5.887,   4.415
130,1,   0.6856, 0.01459,    37.6,   6.383,   4.788
130,2,    1.529, 0.02426,   31.85,   5.567,   4.175
130,3,   0.8474,0.001932,   34.35,   5.867,     4.4
135,0,    1.178,0.009269,   33.85,    5.84,    4.38
135,1,   0.8046, 0.01505,   36.98,   6.299,   4.724
135,2,    1.358, 0.02475,   32.48,   5.643,   4.232
135,3,   0.9626,0.002273,   34.48,   5.907,    4.43
140,0,    1.143,0.009689,   33.85,   5.834,   4.375
