timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,   0.9726,  0.2826,   46.23,   7.913,   5.935
40,1,   0.6275, 0.08525,    48.1,   8.135,   6.102
40,2,   0.5706,  0.2869,   43.85,   7.451,   5.588
40,3,   0.9985,  0.3358,   45.35,   7.781,   5.836
45,0,    1.118,  0.3651,   46.35,   7.972,   5.979
45,1,   0.7246,  0.1067,   48.23,   8.176,   6.132
45,2,   0.7831,  0.3695,   43.98,   7.521,   5.641
45,3,    1.121,  0.4553,    45.6,   7.863,   5.897
50,0,    1.153,  0.4484,   46.35,   7.992,   5.994
50,1,   0.7366,  0.1245,   47.98,   8.139,   6.105
50,2,   0.9253,  0.4519,   43.98,   7.559,   5.669
50,3,    1.086,  0.5923,    45.6,    7.88,    5.91
55,0,    1.136,   0.533,   46.35,   8.003,   6.002
55,1,   0.7598,  0.1421,   47.98,   8.146,    6.11
55,2,   0.8768,  0.5356,   43.98,   7.565,   5.673
55,3,    1.141,   0.725,   45.73,   7.932,   5.949
60,0,    1.086,  0.6169,   46.35,   8.009,   6.007
60,1,   0.6829,  0.1612,   47.98,   8.137,   6.102
60,2,   0.8275,  0.6186,   43.98,    7.57,   5.678
60,3,     1.07,  0.8438,   45.98,   7.981,   5.986
65,0,    1.026,  0.7004,   46.48,   8.034,   6.025
65,1,   0.8451,  0.1768,    48.1,   8.187,    6.14
65,2,        1,  0.7014,   43.98,   7.613,    5.71
65,3,    1.019,  0.9536,   45.98,   7.991,   5.993
70,0,   0.9716,   0.784,    46.6,   8.059,   6.044
70,1,   0.7229,  0.1837,   48.35,   8.209,   6.157
70,2,   0.9548,  0.7841,   43.98,   7.619,   5.714
70,3,   0.9589,   1.062,   45.85,   7.979,   5.984
75,0,   0.9266,   0.861,   46.73,   8.085,   6.064
75,1,   0.6083,  0.1905,    48.6,   8.233,   6.175
75,2,   0.9378,  0.8711,    44.1,   7.651,   5.739
75,3,   0.8921,   1.158,   45.98,   8.004,   6.003
80,0,    0.863,  0.9289,   46.98,   8.128,   6.096
80,1,   0.5348,  0.1971,   48.85,   8.264,   6.198
80,2,    1.018,  0.9672,   44.35,   7.723,   5.792
80,3,   0.8769,   1.225,   46.23,   8.055,   6.041
85,0,   0.9334,   0.986,    47.1,    8.17,   6.127
85,1,   0.4573,  0.2038,    49.1,   8.294,    6.22
85,2,    0.844,   1.073,   44.48,   7.732,   5.799
85,3,   0.8633,   1.277,   46.23,   8.061,   6.046
90,0,   0.9375,   1.033,   47.35,    8.22,   6.165
90,1,   0.4496,  0.2105,   49.35,   8.335,   6.251
90,2,   0.8989,   1.188,    44.6,   7.781,   5.836
90,3,   0.9747,   1.308,   46.35,   8.105,   6.079
95,0,   0.8774,   1.069,   47.85,   8.299,   6.225
95,1,   0.4705,  0.2171,   49.73,   8.402,   6.302
95,2,   0.9575,   1.311,   44.73,   7.832,   5.874
95,3,   0.9233,   1.329,   46.48,   8.121,   6.091
100,0,   0.9823,   1.096,   48.35,   8.405,   6.304
100,1,   0.5498,  0.2224,   49.98,   8.458,   6.343
100,2,    1.015,   1.444,   44.85,   7.885,   5.914
100,3,    1.025,   1.348,   46.35,   8.121,    6.09
105,0,    1.014,   1.113,   48.73,   8.475,   6.357
105,1,   0.4145,  0.2271,   50.23,   8.478,   6.358
105,2,    0.836,   1.586,   44.98,   7.899,   5.925
105,3,    1.041,   1.365,   46.48,   8.147,    6.11
110,0,   0.9563,   1.119,    49.1,   8.529,   6.397
110,1,    0.509,  0.2319,   50.35,   8.515,   6.386
110,2,   0.8537,   1.736,   45.23,   7.969,   5.977
110,3,    1.173,   1.379,   46.73,   8.213,    6.16
115,0,     1.04,   1.122,   49.35,   8.585,   6.439
115,1,   0.6134,  0.2368,   50.48,   8.554,   6.416
115,2,   0.8339,   1.892,   45.23,   7.992,   5.994
115,3,     1.21,   1.385,   46.73,    8.22,   6.165
120,0,      0.9,   1.124,    49.6,   8.604,   6.453
120,1,    0.732,  0.2415,    50.6,   8.596,   6.447
120,2,   0.7622,   2.047,   45.23,   8.006,   6.004
120,3,    1.274,   1.392,   46.85,   8.253,    6.19
125,0,   0.7613,   1.126,   49.85,   8.623,   6.467
125,1,   0.8615,  0.2463,   50.73,   8.639,   6.479
125,2,      0.9,     2.2,   45.35,   8.075,   6.056
125,3,    1.168,   1.398,   46.98,   8.257,   6.193
130,0,   0.8502,   1.128,    50.1,    8.68,    6.51
130,1,   0.9572,   0.251,   50.85,   8.676,   6.507
130,2,   0.8174,    2.35,   45.48,   8.107,    6.08
130,3,    1.255,   1.404,   46.98,   8.272,   6.204
135,0,   0.9437,    1.13,    50.1,   8.696,   6.522
135,1,    1.043,  0.2556,   50.85,   8.691,   6.519
135,2,   0.7384,   2.497,    45.6,   8.139,   6.104
135,3,    1.305,   1.411,   46.98,   8.282,   6.211
140,0,    0.817,   1.132,    50.1,   8.675,   6.506
140,1,   0.9703,  0.2601,   50.98,   8.701,   6.526
140,2,   0.8723,   2.643,   45.73,   8.207,   6.155
140,3,    1.168,   1.417,   47.23,   8.302,   6.226
145,0,   0.9177,   1.134,    50.1,   8.692,   6.519
