timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,    0.705,  0.2342,    46.1,    7.84,    5.88
40,1,   0.3933,   0.228,   47.35,   7.995,   5.996
40,2,   0.8062,  0.2136,   43.23,   7.374,   5.531
40,3,   0.8632,  0.1765,   45.23,   7.711,   5.783
45,0,   0.8688,  0.2792,    46.1,   7.875,   5.906
45,1,   0.5525,    0.28,   47.35,    8.03,   6.023
45,2,   0.8518,  0.2963,   42.98,   7.354,   5.515
45,3,     1.04,  0.2231,    45.1,   7.727,   5.795
50,0,   0.9946,  0.3169,   45.98,   7.881,   5.911
50,1,   0.7229,  0.3281,   46.98,   8.004,   6.003
50,2,   0.8893,  0.3903,   42.73,   7.334,   5.501
50,3,   0.9765,  0.2691,    45.1,   7.724,   5.793
55,0,   0.8746,  0.3395,   45.98,   7.865,   5.899
55,1,   0.6983,  0.3678,   46.98,   8.007,   6.005
55,2,   0.7952,  0.4945,    42.6,   7.315,   5.486
55,3,   0.8105,  0.3133,    45.1,   7.704,   5.778
60,0,   0.7996,  0.3536,   45.98,   7.855,   5.891
60,1,   0.7489,  0.3989,   46.98,    8.02,   6.015
60,2,    0.847,  0.6104,   42.48,   7.322,   5.492
60,3,   0.7798,  0.3524,    45.1,   7.705,   5.779
65,0,   0.7585,  0.3613,    46.1,    7.87,   5.902
65,1,   0.7739,  0.4165,   46.98,   8.028,   6.021
65,2,    1.009,  0.7371,   42.35,   7.349,   5.512
65,3,   0.8603,  0.3924,   44.98,   7.705,   5.778
70,0,   0.7923,  0.3639,    46.1,   7.876,   5.907
70,1,   0.9029,  0.4175,    47.1,    8.07,   6.053
70,2,    1.094,  0.8759,   42.23,   7.366,   5.524
70,3,   0.8253,  0.4343,   44.98,   7.706,   5.779
75,0,   0.8305,  0.3665,    46.1,   7.883,   5.912
75,1,    1.037,  0.4184,    47.1,   8.093,   6.069
75,2,   0.9603,   1.015,   42.23,   7.367,   5.525
75,3,   0.7799,  0.4764,   44.98,   7.705,   5.779
80,0,   0.9005,  0.3691,    46.1,   7.895,   5.921
80,1,   0.9791,  0.4193,    47.1,   8.083,   6.062
80,2,    1.063,   1.145,   42.35,   7.426,    5.57
80,3,   0.6234,  0.5255,   44.85,   7.666,    5.75
85,0,   0.7423,  0.3717,    46.1,   7.869,   5.902
85,1,   0.9172,  0.4202,    47.1,   8.073,   6.055
85,2,    1.187,   1.263,   42.48,   7.488,   5.616
85,3,   0.6469,  0.5876,   44.85,   7.681,   5.761
90,0,   0.5868,  0.3743,    46.1,   7.844,   5.883
90,1,   0.8581,  0.4211,    47.1,   8.063,   6.047
90,2,    1.117,   1.367,    42.6,   7.514,   5.635
90,3,   0.6781,  0.6621,   44.73,   7.678,   5.758
95,0,   0.6557,  0.3768,    46.1,   7.855,   5.892
95,1,    1.023,   0.422,    47.1,   8.091,   6.068
95,2,    1.165,   1.458,   42.73,   7.558,   5.669
95,3,   0.6912,   0.749,    44.6,   7.673,   5.755
100,0,   0.7212,  0.3794,    46.1,   7.867,     5.9
100,1,   0.9611,  0.4229,    47.1,   8.081,    6.06
100,2,    1.202,   1.538,   42.85,   7.598,   5.699
100,3,    0.901,  0.8484,   44.48,   7.704,   5.778
105,0,   0.7853,   0.382,    46.1,   7.878,   5.908
105,1,    0.898,  0.4237,    47.1,    8.07,   6.053
105,2,    1.034,   1.606,   42.85,   7.582,   5.686
105,3,   0.8876,    0.96,   44.23,   7.679,   5.759
110,0,   0.8465,  0.3846,    46.1,   7.889,   5.916
110,1,    0.832,  0.4245,    47.1,   8.059,   6.045
110,2,    1.108,   1.662,   42.98,   7.624,   5.718
110,3,   0.8678,   1.083,   43.98,   7.654,   5.741
115,0,   0.9106,  0.3871,   45.98,   7.879,   5.909
115,1,    0.769,  0.4254,    47.1,   8.049,   6.037
115,2,    1.175,   1.706,    43.1,   7.664,   5.748
115,3,    1.072,   1.217,   43.85,    7.69,   5.767
120,0,   0.7221,  0.3897,   45.98,   7.848,   5.886
120,1,   0.9014,  0.4262,    47.1,   8.071,   6.053
120,2,    1.062,   1.748,   42.98,   7.631,   5.723
120,3,     1.16,   1.356,   43.85,   7.728,   5.796
125,0,   0.7833,  0.3923,   45.98,   7.858,   5.894
125,1,   0.8353,   0.427,    47.1,    8.06,   6.045
125,2,   0.9512,   1.791,   42.98,    7.62,   5.715
125,3,    1.117,   1.493,   43.85,   7.743,   5.808
130,0,   0.8362,  0.3949,   45.98,   7.868,   5.901
130,1,   0.7615,  0.4279,    47.1,   8.048,   6.036
130,2,    1.016,   1.835,   42.98,   7.638,   5.728
130,3,    1.056,    1.63,   43.73,   7.735,   5.801
135,0,   0.8891,  0.3975,   45.98,   7.877,   5.908
135,1,   0.6878,  0.4287,    47.1,   8.036,   6.027
135,2,   0.9891,   1.878,   42.85,    7.62,   5.715
135,3,   0.9907,   1.765,    43.6,   7.726,   5.795
140,0,   0.9415,  0.4001,   45.85,   7.865,   5.899
140,1,   0.8375,  0.4295,    47.1,   8.061,   6.046
140,2,   0.9585,   1.922,   42.85,   7.622,   5.716
140,3,   0.9255,   1.901,    43.6,   7.738,   5.803
145,0,   0.9975,  0.4027,   45.85,   7.875,   5.906
145,1,   0.9909,  0.4304,    47.1,   8.087,   6.065
145,2,   0.9366,   1.966,    43.1,   7.667,    5.75
145,3,   0.8587,   2.037,   43.73,    7.77,   5.828
150,0,    1.049,  0.4053,   45.73,   7.863,   5.897
150,1,    0.916,  0.4312,    47.1,   8.075,   6.056
150,2,   0.8748,   2.009,    43.1,   7.664,   5.748
150,3,   0.7941,   2.173,   43.73,   7.782,   5.837
155,0,   0.8711,  0.4079,   45.73,   7.834,   5.875
155,1,   0.8357,   0.432,    47.1,   8.061,   6.046
155,2,   0.8225,   2.053,    43.1,   7.663,   5.747
155,3,   0.7368,    2.31,    43.6,   7.774,   5.831
160,0,   0.9116,  0.4105,    45.6,    7.82,   5.865
160,1,   0.7502,  0.4329,    47.1,   8.047,   6.035
160,2,   0.7445,   2.096,    43.1,   7.657,   5.743
160,3,   0.6766,   2.446,    43.6,   7.787,    5.84
165,0,   0.9236,  0.4131,   45.48,   7.802,   5.851
165,1,   0.8608,  0.4337,   46.98,   8.045,   6.034
165,2,   0.8837,   2.139,   42.98,   7.666,    5.75
165,3,   0.5257,   2.584,   43.48,   7.764,   5.823
170,0,   0.9389,  0.4158,   45.35,   7.784,   5.838
170,1,   0.9744,  0.4346,   46.85,   8.043,   6.032
170,2,   0.8312,   2.183,    43.1,   7.686,   5.764
170,3,   0.6058,   2.723,   43.48,   7.801,    5.85
175,0,   0.9545,  0.4184,   45.23,   7.766,   5.825
175,1,   0.8646,  0.4354,   46.73,   8.004,   6.003
175,2,   0.7551,   2.227,   43.23,   7.701,   5.776
175,3,    0.681,   2.861,   43.48,   7.836,   5.877
180,0,   0.9724,   0.421,   45.23,    7.77,   5.827
180,1,   0.7572,  0.4363,   46.73,   7.986,    5.99
180,2,    0.731,    2.27,   43.23,   7.704,   5.778
180,3,   0.5391,   2.999,   43.48,   7.836,   5.877
185,0,   0.8855,  0.4272,    45.1,   7.735,   5.802
185,1,   0.7633,  0.4451,    46.6,   7.968,   5.976
185,2,   0.7152,   2.313,   42.98,   7.667,    5.75
185,3,   0.6679,   3.125,   43.48,   7.878,   5.909
190,0,    0.744,  0.4359,    45.1,   7.713,   5.785
190,1,   0.9219,  0.4628,   46.48,   7.977,   5.982
190,2,   0.7454,   2.356,   42.98,   7.679,    5.76
190,3,   0.8244,   3.242,   43.35,   7.903,   5.927
195,0,   0.8089,  0.4447,    45.1,   7.726,   5.794
195,1,    1.064,  0.4804,   46.35,   7.982,   5.987
195,2,   0.7742,   2.399,   42.98,   7.691,   5.769
195,3,   0.7321,   3.358,   43.35,   7.907,    5.93
200,0,   0.8552,  0.4534,    45.1,   7.735,   5.801
200,1,   0.9645,   0.498,   46.23,   7.948,   5.961
200,2,   0.9695,   2.442,   42.98,   7.731,   5.798
200,3,   0.8412,   3.473,   43.23,   7.923,   5.942
205,0,   0.8897,  0.4621,    45.1,   7.742,   5.806
205,1,   0.8533,  0.5156,   46.23,   7.932,   5.949
205,2,   0.9231,   2.485,    43.1,   7.751,   5.814
205,3,   0.9265,   3.587,   43.35,   7.977,   5.983
210,0,   0.8628,  0.4732,    45.1,   7.739,   5.804
210,1,   0.8905,  0.5415,   46.23,   7.943,   5.957
210,2,   0.8973,   2.527,   42.98,   7.733,     5.8
210,3,   0.8162,   3.694,   43.35,   7.977,   5.982
215,0,   0.8185,  0.4842,    45.1,   7.734,     5.8
215,1,   0.9108,  0.5674,   46.23,   7.951,   5.963
215,2,   0.8445,   2.568,   42.98,   7.731,   5.798
215,3,    0.913,     3.8,   43.48,   8.031,   6.023
220,0,   0.7587,  0.4953,    45.1,   7.726,   5.794
220,1,   0.9159,  0.5933,   46.23,   7.956,   5.967
220,2,   0.9735,    2.61,   42.98,    7.76,    5.82
220,3,   0.9911,   3.905,   43.48,   8.062,   6.046
225,0,   0.7851,  0.5027,    45.1,   7.731,   5.798
225,1,   0.7893,  0.6112,   46.23,   7.938,   5.953
225,2,    1.053,   2.652,    43.1,   7.801,   5.851
225,3,   0.9963,   4.023,   43.35,   8.061,   6.046
