timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,    4.057,0.007066,   34.23,   6.382,   4.786
40,1,    8.328, 0.01171,   38.73,   7.844,   5.883
40,2,    3.363,0.003199,   31.23,   5.765,   4.324
40,3,   0.6031,0.001917,    33.1,   5.617,   4.213
45,0,    5.013, 0.00843,   34.23,   6.541,   4.906
45,1,    10.84, 0.01394,   38.85,   8.284,   6.213
45,2,    4.739,0.004282,    32.1,    6.14,   4.605
45,3,   0.6896,0.002208,   33.35,   5.674,   4.255
50,0,    5.911,0.009219,   34.35,   6.712,   5.034
50,1,    13.13, 0.01486,   38.23,   8.561,   6.421
50,2,    6.734,0.005491,   32.98,   6.619,   4.964
50,3,   0.6909, 0.00225,    33.6,   5.716,   4.287
55,0,    6.483,0.009887,    34.6,   6.849,   5.137
55,1,    16.04, 0.01608,   38.98,   9.172,   6.879
55,2,    8.452,0.006494,   32.35,   6.801,   5.101
55,3,   0.6921,0.002295,   33.48,   5.695,   4.271
60,0,    7.133, 0.01059,   34.48,   6.936,   5.202
60,1,    18.33, 0.01709,   38.35,   9.449,   7.087
60,2,    10.71,0.007686,    33.1,   7.304,   5.478
60,3,   0.6936,0.002345,    33.6,   5.716,   4.287
65,0,    7.598, 0.01116,   34.48,   7.014,   5.261
65,1,    20.81, 0.01823,   38.35,   9.863,   7.397
65,2,    12.98,0.008855,    33.1,   7.681,    5.76
65,3,   0.6947,0.002395,    33.6,   5.716,   4.287
70,0,    8.066, 0.01167,    34.6,   7.113,   5.335
70,1,    23.29, 0.01936,   38.48,    10.3,   7.723
70,2,    15.24,0.009887,    33.1,   8.058,   6.043
70,3,   0.6956,0.002443,    33.6,   5.716,   4.287
75,0,    8.533, 0.01222,   34.48,    7.17,   5.378
75,1,    25.14, 0.02037,   37.73,   10.48,   7.861
75,2,    18.13, 0.01112,   33.85,   8.665,   6.499
75,3,   0.6966,0.002493,   33.73,   5.737,   4.303
80,0,    8.966, 0.01272,   34.48,   7.242,   5.432
80,1,    27.03, 0.02106,   37.73,    10.8,   8.098
80,2,    21.02, 0.01235,   33.85,   9.147,    6.86
80,3,   0.6975, 0.00254,   33.73,   5.738,   4.303
85,0,    9.402,  0.0132,   34.48,   7.315,   5.486
85,1,    28.93, 0.02175,    37.6,   11.09,   8.319
85,2,    23.92, 0.01327,   33.85,    9.63,   7.222
85,3,   0.6984,0.002583,   33.73,   5.738,   4.303
90,0,    9.838,  0.0137,   34.73,   7.429,   5.572
90,1,    31.44, 0.02272,   38.48,   11.66,   8.743
90,2,    26.19, 0.01395,   33.23,   9.904,   7.428
90,3,   0.6994,0.002625,   33.73,   5.738,   4.303
95,0,    10.55, 0.01436,    34.6,   7.528,   5.646
95,1,    33.33, 0.02339,   37.85,   11.87,   8.901
95,2,    28.78, 0.01515,   33.98,   10.46,   7.847
95,3,   0.7003,0.002669,   33.98,    5.78,   4.335
100,0,    11.19,   0.015,    34.6,   7.634,   5.725
100,1,    35.22, 0.02404,   37.85,   12.18,   9.137
100,2,    31.47, 0.01625,   33.98,   10.91,   8.182
100,3,   0.7011,0.002709,    34.1,   5.801,    4.35
105,0,    11.82, 0.01563,   34.73,   7.761,   5.821
105,1,    37.11, 0.02465,   37.98,   12.52,   9.389
105,2,    34.15, 0.01735,    34.1,   11.38,   8.533
105,3,   0.7019,0.002749,    34.1,   5.801,   4.351
110,0,    12.46, 0.01633,   34.73,   7.867,   5.901
110,1,       39, 0.02525,   37.98,   12.83,   9.625
110,2,    36.82, 0.01882,    34.1,   11.82,   8.868
110,3,   0.7025,0.002793,   34.23,   5.822,   4.366
115,0,     13.1,   0.017,   34.85,   7.995,   5.996
115,1,    41.52, 0.02598,   38.85,    13.4,   10.05
115,2,    38.87, 0.02009,   33.48,   12.06,   9.045
115,3,   0.7032,0.002834,   34.23,   5.822,   4.366
120,0,    13.85, 0.01773,   34.73,     8.1,   6.075
120,1,    43.41, 0.02667,   38.23,   13.61,   10.21
120,2,    41.42, 0.02143,   34.23,   12.61,   9.459
120,3,   0.7042,0.002894,   34.48,   5.864,   4.398
125,0,    14.53, 0.01843,   34.98,   8.253,    6.19
125,1,    45.93, 0.02746,    39.1,   14.18,   10.63
125,2,    43.43, 0.02267,    33.6,   12.84,   9.632
125,3,   0.7051,0.002951,   34.48,   5.864,   4.398
130,0,     15.6, 0.01916,   34.73,    8.39,   6.292
130,1,    47.82, 0.02798,   38.35,   14.37,   10.77
130,2,    45.66, 0.02397,   34.23,   13.32,   9.988
130,3,    0.706,0.003007,   34.48,   5.864,   4.398
135,0,    16.39, 0.01976,   34.85,   8.543,   6.407
135,1,    49.71, 0.02849,   38.48,    14.7,   11.03
135,2,    48.18, 0.02492,   34.23,   13.74,    10.3
135,3,   0.7069,0.003069,   34.48,   5.864,   4.398
140,0,    17.18, 0.02037,   34.85,   8.675,   6.507
140,1,    51.61, 0.02899,   38.48,   15.02,   11.26
140,2,    50.71, 0.02587,   34.23,   14.16,   10.62
140,3,   0.7079, 0.00313,   34.48,   5.864,   4.398
145,0,    17.98,   0.021,    34.6,   8.766,   6.575
145,1,    52.87, 0.02931,   37.73,    15.1,   11.33
145,2,    53.86, 0.02702,   34.85,   14.79,   11.09
145,3,   0.7089,0.003192,   34.73,   5.906,    4.43
150,0,    18.69, 0.02155,   34.85,   8.926,   6.695
150,1,    54.77, 0.02971,   38.48,   15.55,   11.66
150,2,    56.48, 0.02774,   34.23,   15.12,   11.34
150,3,     0.71,0.003248,    34.6,   5.886,   4.414
155,0,    19.43, 0.02213,   34.98,    9.07,   6.803
155,1,    56.64, 0.03018,   38.48,   15.86,   11.89
155,2,    59.09, 0.02845,   34.23,   15.56,   11.67
155,3,   0.7111,0.003302,    34.6,   5.886,   4.414
160,0,     20.2, 0.02273,   34.98,     9.2,     6.9
160,1,     58.5, 0.03063,   38.48,   16.17,   12.13
160,2,    61.67, 0.02921,   34.23,   15.99,   11.99
160,3,    0.712,0.003338,    34.6,   5.886,   4.414
165,0,    20.98, 0.02335,   34.73,   9.288,   6.966
165,1,    59.74, 0.03098,   37.73,   16.25,   12.19
165,2,    64.86, 0.03014,   34.85,   16.62,   12.47
165,3,   0.7129,0.003376,   34.73,   5.907,    4.43
170,0,    21.36, 0.02391,   34.85,   9.373,    7.03
170,1,    60.98, 0.03132,   37.73,   16.46,   12.34
170,2,    68.48, 0.03115,   34.85,   17.23,   12.92
170,3,   0.7138,0.003413,   34.85,   5.928,   4.446
175,0,    21.74, 0.02446,   34.73,   9.415,   7.061
175,1,    62.22, 0.03165,    37.6,   16.64,   12.48
175,2,    72.09,  0.0325,   34.85,   17.83,   13.37
175,3,   0.7146,0.003441,   34.85,   5.928,   4.446
180,0,    22.12, 0.02504,   34.98,    9.52,    7.14
180,1,    64.08, 0.03222,   38.35,   17.08,   12.81
