timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,     1.53,  0.2538,   37.35,   6.522,   4.892
40,1,    3.571,  0.4072,   39.35,   7.221,   5.416
40,2,   0.8869,  0.3067,    34.1,   5.882,   4.412
40,3,  0.05056,0.001118,   35.48,   5.921,   4.441
45,0,    1.998,  0.3236,   37.85,   6.695,   5.021
45,1,    4.297,  0.4861,   39.85,   7.439,   5.579
45,2,    1.431,  0.4373,    34.6,   6.078,   4.559
45,3,  0.05821,0.001367,   35.98,   6.006,   4.504
50,0,    2.461,  0.3935,    38.1,   6.826,   5.119
50,1,    4.715,  0.5468,   39.85,   7.519,   5.639
50,2,     2.14,  0.6046,   34.85,   6.266,   4.699
50,3,  0.05988,0.001565,   36.23,   6.048,   4.536
55,0,    2.916,  0.4565,   38.35,   6.954,   5.215
55,1,    5.133,  0.6074,   39.98,   7.619,   5.714
55,2,    2.842,  0.7469,   34.85,   6.407,   4.805
55,3,   0.1612, 0.02353,   36.35,   6.089,   4.567
60,0,    3.369,  0.5195,   38.35,    7.04,    5.28
60,1,    5.473,  0.6197,   39.98,   7.678,   5.758
60,2,    3.714,  0.9218,    35.1,   6.623,   4.967
60,3,    0.262, 0.04549,   36.48,    6.13,   4.598
65,0,    3.708,  0.5415,    38.6,   7.142,   5.356
65,1,    5.812,   0.632,    40.1,   7.757,   5.818
65,2,    4.722,    1.13,    35.1,   6.825,   5.119
65,3,   0.3628, 0.06744,   36.73,   6.193,   4.644
70,0,    4.046,  0.5636,    38.6,   7.202,   5.401
70,1,    5.955,  0.6682,   40.23,   7.808,   5.856
70,2,    5.729,   1.338,   35.23,   7.049,   5.286
70,3,   0.4636, 0.08938,   36.73,   6.213,    4.66
75,0,    4.269,  0.5729,   38.85,   7.282,   5.461
75,1,    6.099,  0.7043,   40.23,   7.838,   5.879
75,2,    6.748,    1.56,   35.23,   7.255,   5.442
75,3,   0.5644,  0.1113,   36.85,   6.254,   4.691
80,0,    4.492,  0.5821,    39.1,   7.362,   5.522
80,1,    6.309,  0.7684,   40.35,   7.905,   5.928
80,2,     7.59,   1.745,    35.1,   7.406,   5.554
80,3,   0.6652,  0.1332,   36.85,   6.275,   4.706
85,0,    4.737,  0.6081,    39.1,   7.408,   5.556
85,1,    6.519,  0.8324,   40.35,    7.95,   5.963
