timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,   0.8241, 0.02189,    35.1,   5.991,   4.493
40,1,    5.282,  0.2999,   37.23,   7.135,   5.351
40,2,    2.644,  0.2578,   31.98,   5.813,    4.36
40,3, 0.007559,0.0005824,   33.98,   5.664,   4.248
45,0,    1.058,  0.0289,   35.48,   6.094,    4.57
45,1,    6.618,  0.4041,   37.73,   7.458,   5.593
45,2,    3.346,  0.3297,   32.48,   6.025,   4.519
45,3, 0.009331,0.0007197,   34.48,   5.748,   4.311
50,0,    1.389, 0.04814,   35.73,   6.194,   4.645
50,1,    7.706,  0.5069,   37.85,   7.677,   5.758
50,2,    4.033,  0.4039,   32.73,   6.194,   4.645
50,3,  0.01098,0.0008533,    34.6,   5.769,   4.326
55,0,     1.72, 0.06742,   35.85,   6.273,   4.705
55,1,    8.474,  0.5906,   37.85,   7.819,   5.864
55,2,    5.009,  0.4998,    33.1,   6.435,   4.826
55,3,  0.01259,0.000977,   34.73,    5.79,   4.342
60,0,    2.038,  0.0854,   35.98,    6.35,   4.762
60,1,    9.142,  0.6633,   37.85,   7.942,   5.957
60,2,    6.097,   0.608,   33.23,   6.655,   4.991
60,3,  0.01371,0.001072,   34.85,   5.811,   4.358
65,0,    2.356,  0.1034,    36.1,   6.427,    4.82
65,1,     9.81,  0.7361,    38.1,   8.108,   6.081
65,2,    7.183,   0.716,   33.35,   6.875,   5.156
65,3,  0.01508,0.001174,   34.85,   5.811,   4.358
70,0,    2.673,  0.1213,    36.1,   6.482,   4.862
70,1,    10.25,   0.784,    38.1,   8.188,   6.141
70,2,    8.497,  0.8485,    33.6,   7.158,   5.368
70,3,  0.01642,0.001267,   34.98,   5.832,   4.374
75,0,    2.973,  0.1373,    36.1,   6.535,   4.901
75,1,    10.48,  0.8091,   37.85,   8.189,   6.142
75,2,    10.03,   1.005,   33.85,   7.481,   5.611
75,3,  0.01721,0.001344,    35.1,   5.853,    4.39
80,0,    3.272,   0.153,    36.1,   6.587,   4.941
80,1,     10.7,  0.8342,    38.1,   8.273,   6.205
80,2,    11.57,   1.162,   33.85,   7.763,   5.822
80,3,  0.01798,0.001421,   35.23,   5.874,   4.406
85,0,    3.571,  0.1687,   36.23,   6.661,   4.996
85,1,    10.71,  0.8345,    38.1,   8.274,   6.205
85,2,    13.33,   1.343,    34.1,   8.128,   6.096
85,3,  0.01877,  0.0015,   35.35,   5.895,   4.421
90,0,    3.769,  0.1724,   36.35,   6.715,   5.036
90,1,    10.71,  0.8346,   38.35,   8.316,   6.237
90,2,     15.2,   1.534,    34.1,   8.473,   6.355
90,3,  0.01954,0.001576,   35.48,   5.916,   4.437
95,0,    3.968,  0.1761,   36.48,    6.77,   5.077
95,1,    10.72,  0.8348,    38.6,   8.359,   6.269
95,2,    16.99,    1.72,    34.1,   8.802,   6.601
95,3,  0.02033,0.001652,    35.6,   5.937,   4.453
100,0,    4.166,  0.1798,    36.6,   6.824,   5.118
100,1,    10.72,   0.835,   38.85,   8.401,   6.301
100,2,    18.72,   1.904,    34.1,   9.121,   6.841
100,3,  0.02108,0.001724,   35.73,   5.958,   4.468
105,0,    4.367,  0.1836,   36.73,   6.879,   5.159
105,1,    10.73,  0.8352,    38.6,    8.36,    6.27
105,2,    20.42,   2.085,   34.23,   9.454,   7.091
105,3,  0.02166,0.001789,   35.85,   5.979,   4.484
110,0,    4.567,  0.1873,   36.85,   6.934,   5.201
110,1,    10.73,  0.8354,    38.6,   8.361,   6.271
110,2,    22.06,   2.263,   34.23,   9.759,   7.319
110,3,  0.02225,0.001853,   35.98,       6,     4.5
115,0,    4.767,   0.191,   36.98,   6.989,   5.242
115,1,    10.74,  0.8356,   38.85,   8.404,   6.303
115,2,    23.67,   2.439,   34.35,   10.08,   7.558
115,3,  0.02288,0.001919,    36.1,   6.021,   4.516
120,0,    4.968,  0.1947,    37.1,   7.044,   5.283
120,1,    10.74,  0.8358,   38.85,   8.405,   6.303
120,2,    25.23,   2.614,   34.48,   10.39,    7.79
120,3,  0.02349,0.001983,    36.1,   6.021,   4.516
125,0,    5.168,  0.1984,    37.1,   7.078,   5.308
125,1,    10.75,  0.8361,   38.85,   8.405,   6.304
125,2,    26.75,   2.786,    34.6,   10.69,   8.017
125,3,  0.02419,0.002053,    36.1,   6.021,   4.516
130,0,    5.368,   0.202,    37.1,   7.112,   5.334
130,1,    10.75,  0.8363,   38.85,   8.406,   6.305
130,2,    28.22,    2.96,   34.73,   10.98,   8.238
130,3,  0.02489,0.002123,    36.1,   6.021,   4.516
135,0,    5.568,  0.2056,    37.1,   7.146,   5.359
135,1,    10.76,  0.8365,   38.85,   8.407,   6.305
