timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,    2.778,0.002248,   36.85,   6.605,   4.954
40,1,    10.13, 0.01207,   40.48,   8.437,   6.328
40,2,     6.35,0.002636,   33.73,    6.68,    5.01
40,3,  0.07357,0.0006527,    35.1,   5.862,   4.397
45,0,     3.81,0.002775,   36.85,   6.777,   5.083
45,1,    13.26, 0.01416,   40.48,   8.958,   6.719
45,2,    7.858,0.003203,   34.35,   7.035,   5.276
45,3,  0.08454,0.0007675,   35.35,   5.906,   4.429
50,0,    4.835,0.003171,    37.1,    6.99,   5.242
50,1,    16.82, 0.01494,   41.23,   9.677,   7.258
50,2,    9.087,0.003598,   33.85,   7.157,   5.368
50,3,  0.08573,0.0008139,   35.35,   5.906,    4.43
55,0,    6.053,0.003595,    37.1,   7.193,   5.395
55,1,    20.38, 0.01571,   41.48,   10.31,   7.734
55,2,    10.07,0.003935,   33.85,    7.32,    5.49
55,3,  0.08656,0.0008524,   35.35,   5.906,    4.43
60,0,     7.27,0.004018,   37.35,   7.437,   5.578
60,1,    23.95, 0.01647,    41.6,   10.93,   8.196
60,2,    11.04,0.004271,   33.85,   7.483,   5.612
60,3,  0.08738,0.000893,   35.35,   5.906,    4.43
65,0,    8.353,0.004457,    37.6,    7.66,   5.745
65,1,    27.72, 0.01725,    41.6,   11.56,   8.667
65,2,    12.02,0.004602,   33.98,   7.667,    5.75
65,3,  0.08829,0.0009368,   35.35,   5.907,    4.43
70,0,    9.334,0.004902,   37.48,   7.802,   5.852
70,1,    30.99, 0.01792,   41.23,   12.04,   9.028
70,2,    13.58,0.005067,    34.6,   8.031,   6.023
70,3,  0.08923,0.0009831,   35.48,   5.928,   4.446
75,0,    10.27,0.005354,   37.73,       8,       6
75,1,    34.28,  0.0186,   41.35,   12.61,   9.456
75,2,    15.14,0.005532,    34.6,   8.291,   6.218
75,3,  0.09021,0.001032,   35.48,   5.928,   4.446
80,0,    11.27,0.005813,   37.73,   8.167,   6.125
80,1,    37.51, 0.01928,   41.35,   13.15,   9.859
80,2,     16.7,0.005992,    34.6,    8.55,   6.413
80,3,  0.09121,0.001083,   35.48,   5.928,   4.446
85,0,    12.41,0.006271,    38.1,   8.419,   6.314
85,1,    41.08, 0.02004,    42.1,   13.87,    10.4
85,2,    17.76, 0.00633,    34.1,   8.644,   6.483
85,3,  0.09195,0.001116,   35.35,   5.907,    4.43
90,0,     13.7,0.006748,   38.35,   8.676,   6.507
90,1,    44.54, 0.02076,    42.1,   14.44,   10.83
90,2,    18.82, 0.00667,    34.1,   8.822,   6.616
90,3,  0.09269,0.001149,   35.35,   5.907,    4.43
95,0,    14.99, 0.00722,   38.35,   8.891,   6.668
95,1,    47.99, 0.02148,   41.85,   14.98,   11.23
95,2,    19.41,0.006892,   33.85,   8.878,   6.658
95,3,   0.5664,0.001288,   35.98,    6.09,   4.568
100,0,    16.28,0.007728,   37.98,   9.044,   6.783
100,1,    50.72, 0.02207,   41.35,   15.35,   11.51
100,2,    20.68,0.007293,    34.6,   9.214,   6.911
100,3,     1.04,0.001426,    36.1,    6.19,   4.643
105,0,    17.37,0.008239,   37.98,   9.226,   6.919
105,1,    53.65,  0.0227,   41.35,   15.84,   11.88
105,2,    21.95,0.007744,    34.6,   9.426,    7.07
105,3,    1.514,0.001567,    36.1,   6.269,   4.702
110,0,    18.75,0.008799,   37.98,   9.455,   7.091
110,1,    56.59, 0.02333,   41.35,   16.33,   12.25
110,2,    22.99,0.008145,    34.6,     9.6,     7.2
110,3,    1.988,0.001706,    36.1,   6.348,   4.761
115,0,    20.12,0.009344,   37.98,   9.684,   7.263
115,1,    59.49, 0.02395,   41.35,   16.81,   12.61
115,2,    24.04,0.008548,    34.6,   9.774,   7.331
115,3,    2.461,0.001841,    36.1,   6.427,    4.82
120,0,    21.41,0.009917,   37.98,   9.899,   7.424
120,1,    62.46, 0.02456,   41.35,   17.31,   12.98
120,2,    25.08,0.008969,    34.6,   9.948,   7.461
120,3,    2.935,0.001979,    36.1,   6.506,    4.88
125,0,    22.38, 0.01044,   37.98,   10.06,   7.546
125,1,    65.77, 0.02524,   41.35,   17.86,   13.39
125,2,    26.12,0.009392,    34.6,   10.12,   7.592
125,3,    3.409,0.002115,    36.1,   6.585,   4.939
130,0,    23.38,   0.011,    37.6,   10.16,   7.623
130,1,    68.51, 0.02582,    40.6,   18.19,   13.64
130,2,    27.69,0.009946,    35.1,   10.47,   7.851
130,3,    3.883,0.002252,   36.23,   6.685,   5.014
135,0,    24.18, 0.01149,   37.98,   10.36,    7.77
135,1,    71.98, 0.02652,   41.35,   18.89,   14.17
135,2,    29.27, 0.01052,   34.85,   10.69,   8.016
135,3,    3.884,0.002283,   35.48,    6.56,    4.92
140,0,       25, 0.01198,   37.98,    10.5,   7.874
140,1,    75.44, 0.02722,    41.1,   19.43,   14.57
140,2,    30.15, 0.01091,   34.23,   10.73,   8.049
140,3,    4.535,0.002484,    36.1,   6.773,    5.08
145,0,    25.82, 0.01245,    37.6,   10.57,    7.93
145,1,    78.17, 0.02778,   40.35,   19.76,   14.82
145,2,    31.72, 0.01143,   34.73,   11.08,   8.307
145,3,    5.187, 0.00268,   36.23,   6.902,   5.177
150,0,    26.29, 0.01283,   37.73,   10.67,   8.004
150,1,    81.64, 0.02847,   40.85,   20.42,   15.31
150,2,    32.93, 0.01187,   34.23,   11.19,   8.396
150,3,    5.838,0.002876,    36.1,    6.99,   5.243
155,0,    26.77, 0.01324,   37.35,   10.69,   8.016
155,1,    84.44, 0.02904,    40.1,   20.76,   15.57
155,2,    34.86, 0.01249,   34.73,    11.6,     8.7
155,3,     6.49,0.003073,   36.23,    7.12,    5.34
160,0,     27.2, 0.01361,    37.1,   10.72,   8.039
160,1,    87.25, 0.02959,    40.1,   21.23,   15.92
160,2,     36.8, 0.01309,   34.73,   11.92,   8.942
160,3,    7.141,0.003267,   36.23,   7.228,   5.421
165,0,    27.61, 0.01402,   36.73,   10.73,   8.044
165,1,    89.36, 0.03001,   39.35,   21.46,   16.09
165,2,    39.42, 0.01386,   35.23,   12.44,   9.333
165,3,    7.793,0.003466,   36.35,   7.358,   5.518
170,0,    27.85, 0.01437,   36.85,   10.79,   8.089
170,1,     92.2, 0.03057,   39.98,   22.03,   16.53
170,2,    41.53,  0.0145,   34.73,   12.71,   9.533
170,3,    8.444,0.003678,   36.23,   7.446,   5.584
175,0,    28.24, 0.01473,    36.6,   10.81,   8.106
175,1,    94.86, 0.03112,   39.85,   22.46,   16.84
175,2,    43.63, 0.01512,   34.73,   13.06,   9.796
175,3,    9.096,0.003889,   36.23,   7.554,   5.666
180,0,    28.66,  0.0151,    36.6,   10.88,   8.159
180,1,    97.52, 0.03167,   39.85,    22.9,   17.18
180,2,    46.38, 0.01589,    35.1,   13.58,   10.19
180,3,    9.097,0.003929,    35.6,    7.45,   5.588
185,0,    29.09, 0.01543,   36.73,   10.97,   8.228
185,1,    100.9, 0.03235,   40.48,   23.56,   17.67
185,2,    48.45, 0.01648,   34.48,   13.82,   10.37
185,3,    9.098,0.003969,   35.48,   7.429,   5.572
190,0,    29.82, 0.01585,    36.6,   11.07,   8.305
190,1,    103.5, 0.03291,   39.73,   23.87,    17.9
190,2,    50.88, 0.01716,   34.98,   14.31,   10.73
190,3,    9.099, 0.00401,    35.6,    7.45,   5.588
195,0,    30.56, 0.01623,   36.73,   11.22,   8.412
195,1,    106.8,  0.0336,   40.48,   24.55,   18.42
195,2,    52.58, 0.01767,   34.35,   14.49,   10.87
195,3,    9.099,0.004049,   35.48,    7.43,   5.572
200,0,    31.35, 0.01666,    36.6,   11.33,   8.496
200,1,    109.5, 0.03419,   39.73,   24.88,   18.66
200,2,    54.95, 0.01834,   34.85,   14.97,   11.23
200,3,      9.1,0.004088,    35.6,   7.451,   5.588
205,0,    32.15, 0.01704,   36.73,   11.48,   8.611
205,1,    112.8,  0.0349,   40.35,   25.54,   19.15
205,2,    56.63, 0.01884,   34.23,   15.14,   11.36
205,3,    9.101,0.004123,   35.48,    7.43,   5.573
210,0,    33.15,  0.0175,    36.6,   11.63,   8.721
210,1,    115.5, 0.03546,   39.73,   25.87,    19.4
210,2,    58.77, 0.01946,   34.73,   15.59,   11.69
210,3,    9.102,0.004146,    35.6,   7.451,   5.588
215,0,       34, 0.01792,    36.6,   11.77,   8.828
215,1,    118.3, 0.03606,   39.73,   26.34,   19.75
215,2,    60.92, 0.02008,   34.73,   15.94,   11.96
