timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,    6.966,  0.1386,   40.85,   7.992,   5.994
40,1,    6.631,  0.1354,   41.48,    8.04,    6.03
40,2,    2.468,  0.3138,   35.48,   6.376,   4.782
40,3,    2.835,  0.3012,    38.1,   6.873,   5.154
45,0,    9.139,  0.1692,   41.73,   8.506,   6.379
45,1,    8.082,  0.1857,    42.1,   8.395,   6.296
45,2,    2.897,  0.4113,   35.98,   6.547,    4.91
45,3,    3.319,  0.3969,   38.73,   7.074,   5.305
50,0,    11.36,  0.1964,   41.98,   8.922,   6.692
50,1,    9.309,  0.2408,    42.1,   8.608,   6.456
50,2,     3.06,  0.5166,   35.98,   6.592,   4.944
50,3,    3.501,  0.5016,    38.6,     7.1,   5.325
55,0,    13.63,  0.2203,   42.35,   9.367,   7.025
55,1,    10.44,  0.2998,    42.1,   8.806,   6.605
55,2,    3.213,   0.622,    36.1,   6.656,   4.992
55,3,    3.653,   0.607,   38.85,   7.185,   5.389
60,0,    16.06,  0.2383,   42.35,   9.775,   7.332
60,1,    11.27,  0.3671,   41.85,   8.915,   6.686
60,2,    3.362,  0.7276,    36.1,   6.698,   5.024
60,3,    3.802,  0.7126,    39.1,   7.269,   5.452
65,0,    18.66,  0.2515,   42.48,   10.23,   7.674
65,1,     11.9,  0.4399,   41.98,   9.052,   6.789
65,2,    3.509,  0.8332,    36.1,    6.74,   5.055
65,3,    3.948,  0.8183,    39.1,   7.311,   5.483
70,0,    21.25,  0.2646,    42.6,   10.69,   8.014
70,1,    12.52,  0.5136,    42.1,   9.189,   6.892
70,2,    3.654,  0.9392,    36.1,   6.782,   5.087
70,3,    4.093,  0.9244,    39.1,   7.353,   5.515
75,0,    23.82,  0.2778,   42.73,   11.14,   8.353
75,1,    13.14,   0.587,   42.23,   9.325,   6.994
75,2,    3.798,   1.046,    36.1,   6.824,   5.118
75,3,    4.236,   1.031,    39.1,   7.395,   5.546
80,0,    26.37,  0.2909,   42.85,   11.58,   8.689
80,1,    13.75,  0.6598,   42.23,    9.44,    7.08
80,2,    3.946,   1.154,   36.23,   6.888,   5.166
80,3,    4.384,    1.14,    39.1,   7.437,   5.578
85,0,    28.67,  0.3081,    42.6,   11.93,   8.948
85,1,    14.36,  0.7299,   42.35,   9.573,    7.18
85,2,    4.152,   1.255,   36.35,    6.96,    5.22
85,3,    4.878,   1.236,   39.48,   7.598,   5.699
90,0,    30.74,  0.3281,   42.73,    12.3,   9.224
90,1,       15,  0.7953,   42.48,   9.712,   7.284
90,2,    4.418,    1.35,   36.48,    7.04,    5.28
90,3,    5.646,   1.321,    39.6,   7.761,   5.821
95,0,    32.55,  0.3528,    42.6,   12.58,   9.438
95,1,    15.72,  0.8568,    42.6,   9.863,   7.397
95,2,     4.96,   1.436,    37.1,   7.249,   5.437
95,3,    6.464,   1.401,   39.73,   7.932,   5.949
100,0,    34.13,  0.3816,   42.85,   12.89,   9.671
100,1,    16.42,   0.916,   42.73,   10.01,   7.508
100,2,    5.844,   1.511,   37.48,   7.472,   5.604
100,3,    7.326,   1.474,   39.85,   8.108,   6.081
105,0,    35.52,  0.4143,   42.85,   13.13,   9.848
105,1,    17.35,  0.9692,   42.85,    10.2,   7.647
