timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,    1.865,  0.4407,   28.98,   5.213,    3.91
40,1,    4.607,  0.5798,   31.48,    6.11,   4.583
40,2,    6.155,  0.9425,   26.85,   5.658,   4.243
40,3,   0.0543, 0.08133,    28.6,   4.789,   3.592
45,0,    2.346,  0.5317,   29.35,   5.371,   4.028
45,1,    6.563,  0.7207,   32.35,   6.606,   4.954
45,2,    8.068,   1.139,   27.35,   6.093,    4.57
45,3,  0.06507, 0.09796,   28.85,   4.836,   3.627
50,0,    2.822,  0.6031,    29.6,   5.504,   4.128
50,1,    8.454,  0.8247,   32.73,   7.001,    5.25
50,2,    9.975,   1.324,   27.98,   6.546,   4.909
50,3,   0.6238,  0.1491,   29.85,   5.104,   3.828
55,0,     3.29,   0.665,   29.85,   5.634,   4.226
55,1,    10.26,  0.9091,   32.85,   7.337,   5.503
55,2,    12.33,   1.441,   29.23,   7.166,   5.374
55,3,    1.175,  0.1917,   30.35,   5.286,   3.965
60,0,    3.757,  0.7265,   29.85,   5.722,   4.292
60,1,    11.47,  0.9607,   32.23,   7.442,   5.582
60,2,    15.31,   1.588,   30.23,   7.853,    5.89
60,3,    1.727,  0.2348,   30.73,   5.448,   4.086
65,0,     4.08,  0.7864,   30.23,   5.849,   4.386
65,1,     13.3,   1.032,    33.1,   7.906,   5.929
65,2,    17.81,   1.717,   29.85,   8.229,   6.172
65,3,    2.278,  0.2775,   30.73,   5.547,    4.16
70,0,    4.454,  0.8463,    30.6,   5.983,   4.487
70,1,    15.71,   1.127,   33.98,   8.469,   6.352
70,2,    19.69,   1.823,   29.23,   8.456,   6.342
70,3,     2.83,  0.3195,   30.73,   5.646,   4.234
75,0,    4.863,  0.9053,   30.73,   6.082,   4.562
75,1,    18.12,   1.222,    34.1,   8.907,    6.68
75,2,    21.54,   1.907,   29.35,   8.799,   6.599
75,3,    3.381,  0.3616,   30.85,   5.766,   4.324
80,0,    5.273,  0.9673,   30.85,   6.182,   4.636
80,1,     19.9,   1.304,    33.6,   9.134,    6.85
80,2,    24.01,   2.013,   30.35,   9.396,   7.047
80,3,    3.933,  0.4047,   31.23,   5.927,   4.445
85,0,    5.631,   1.025,   30.98,   6.272,   4.704
85,1,    21.74,   1.358,   33.85,   9.491,   7.118
85,2,    26.49,   2.118,   30.48,   9.847,   7.385
85,3,    4.484,  0.4468,   31.35,   6.047,   4.535
90,0,    5.943,   1.073,   31.23,   6.374,    4.78
90,1,    24.18,   1.419,   34.85,   10.07,   7.556
90,2,    28.96,   2.222,   30.48,   10.28,   7.708
90,3,    4.488,  0.4544,   30.85,   5.965,   4.474
95,0,     6.37,   1.129,    31.6,   6.516,   4.887
95,1,    27.12,   1.498,   35.85,   10.75,   8.059
95,2,    30.81,   2.293,   29.85,   10.49,    7.87
95,3,    4.492,  0.4611,   30.85,   5.967,   4.475
100,0,    6.799,   1.186,   31.85,   6.639,   4.979
100,1,    30.69,    1.64,   36.85,   11.53,   8.648
100,2,    32.04,   2.334,   29.23,    10.6,    7.95
100,3,    4.495,  0.4674,   30.85,   5.969,   4.477
105,0,    7.238,    1.24,   31.73,     6.7,   5.025
105,1,    33.63,   1.762,   36.23,   11.94,   8.952
105,2,    33.26,   2.372,   29.35,   10.83,   8.123
105,3,    5.116,  0.4845,    31.6,     6.2,    4.65
110,0,    7.626,   1.295,   31.73,   6.774,   5.081
110,1,    35.99,   1.861,   35.73,   12.26,   9.197
110,2,    35.12,   2.432,   30.23,    11.3,   8.472
110,3,    5.737,  0.5023,   31.85,   6.348,   4.761
115,0,    7.977,    1.35,    32.1,   6.905,   5.178
115,1,    38.98,   2.005,    36.6,   12.93,   9.698
