timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,    1.235,   19.46,    35.6,   9.383,   7.037
40,1,    2.963,   52.66,    37.1,   15.45,   11.59
40,2,    1.214,    21.2,   32.35,   9.127,   6.845
40,3,   0.7041,   2.766,   34.35,   6.303,   4.727
45,0,     1.59,   24.34,    36.1,   10.34,   7.754
45,1,     3.63,   66.04,    37.6,   17.88,   13.41
45,2,    1.725,   29.97,   32.85,   10.76,   8.068
45,3,   0.9368,   3.683,   34.73,   6.557,   4.918
50,0,    2.088,   32.92,   36.35,   11.89,    8.92
50,1,    4.049,   79.29,   37.98,   20.22,   15.16
50,2,    2.163,   37.27,   32.85,   12.05,   9.036
50,3,    1.169,   4.599,   34.85,    6.77,   5.077
55,0,    2.729,   45.12,   36.48,   14.05,   10.54
55,1,    4.385,   87.85,   38.23,   21.74,   16.31
55,2,      2.6,   44.58,   32.98,   13.36,   10.02
55,3,      1.4,   5.514,   34.98,   6.982,   5.236
60,0,    3.369,   57.03,    36.6,   16.17,   12.12
60,1,    4.818,    95.2,    38.6,    23.1,   17.33
60,2,    3.036,   51.88,    33.1,   14.67,      11
60,3,    1.632,   6.428,    35.1,   7.193,   5.395
65,0,    3.968,   65.08,   36.73,   17.63,   13.22
65,1,    5.165,   102.2,   38.48,   24.31,   18.23
65,2,    3.473,   59.18,   33.35,      16,      12
65,3,    2.011,   10.62,   35.35,   7.996,   5.997
70,0,    4.462,   72.92,   36.85,   19.04,   14.28
70,1,    5.511,   109.2,   38.73,   25.58,   19.18
70,2,    4.047,   70.02,   33.48,   17.92,   13.44
70,3,     2.16,   13.91,   35.35,    8.57,   6.427
75,0,    4.957,   80.76,   36.98,   20.45,   15.34
75,1,    5.858,   116.3,   38.98,   26.85,   20.14
75,2,    4.508,      81,    33.6,   19.85,   14.89
75,3,     2.31,    17.2,   35.48,   9.164,   6.873
80,0,    5.452,   88.59,    37.1,   21.86,   16.39
80,1,     6.27,     126,   39.35,   28.61,   21.46
80,2,    4.792,   88.26,    33.6,   21.11,   15.83
80,3,     2.46,   20.49,    35.6,   9.758,   7.319
85,0,    5.959,   97.25,   37.35,   23.43,   17.57
85,1,    6.576,   135.9,   39.48,   30.33,   22.75
85,2,    5.078,   95.52,   33.73,   22.39,   16.79
85,3,     2.61,   23.78,   35.73,   10.35,   7.764
90,0,    6.381,     107,    37.6,   25.17,   18.88
90,1,    6.883,   145.8,    39.6,   32.06,   24.04
90,2,    5.363,   102.8,   33.85,   23.67,   17.75
90,3,     2.76,   27.07,   35.85,   10.95,    8.21
95,0,    6.692,   115.7,   37.85,    26.7,   20.03
95,1,    7.231,   158.2,   39.73,    34.2,   25.65
95,2,    5.648,     110,   33.98,   24.94,   18.71
95,3,     2.91,   30.36,   35.98,   11.54,   8.656
100,0,    7.062,   129.1,    38.1,   29.04,   21.78
100,1,     7.41,   167.4,   39.73,   35.76,   26.82
100,2,    5.934,   117.3,    34.1,   26.22,   19.67
100,3,     3.06,   33.65,    36.1,   12.13,   9.101
105,0,    7.452,   144.1,   38.35,   31.65,   23.74
105,1,    7.647,   179.9,   39.85,   37.91,   28.43
105,2,    6.219,   124.6,    34.1,   27.48,   20.61
105,3,    3.062,   33.67,    36.1,   12.14,   9.103
110,0,    7.906,   164.1,    38.6,   35.11,   26.33
110,1,    7.885,   192.5,   39.98,   40.06,   30.04
110,2,    6.367,   128.3,    34.1,   28.13,    21.1
110,3,    3.064,   33.68,    36.1,   12.14,   9.106
115,0,    8.422,   189.1,   38.98,   39.41,   29.56
115,1,    8.124,     205,    40.1,   42.21,   31.66
115,2,    6.371,   128.3,    34.1,   28.13,    21.1
115,3,    3.066,   33.69,    36.1,   12.14,   9.107
120,0,    9.002,     219,   39.35,   44.56,   33.42
120,1,    8.299,   214.9,    40.1,   43.88,   32.91
120,2,    6.373,   128.4,    34.1,   28.14,    21.1
120,3,    3.067,    33.7,    36.1,   12.15,   9.109
125,0,    9.594,   250.1,   39.35,   49.83,   37.38
125,1,    8.457,   223.8,   40.23,   45.42,   34.07
125,2,    6.375,   128.4,    34.1,   28.14,   21.11
125,3,    3.069,   33.72,    36.1,   12.15,   9.111
130,0,    10.19,   281.3,   39.48,   55.16,   41.37
130,1,    8.614,   232.8,   40.23,   46.94,   35.21
130,2,    6.376,   128.4,    34.1,   28.15,   21.11
130,3,     3.07,   33.73,   36.23,   12.17,   9.128
135,0,    10.81,   315.2,    39.6,   60.93,   45.69
135,1,     8.73,   239.3,   40.23,   48.05,   36.04
135,2,    6.378,   128.4,   34.23,   28.17,   21.13
135,3,    3.071,   33.74,   36.35,   12.19,   9.145
140,0,    11.37,   344.1,   39.73,   65.87,    49.4
140,1,    8.928,   250.9,   40.35,   50.03,   37.52
140,2,     6.38,   128.5,   34.35,    28.2,   21.15
140,3,    3.072,   33.75,   36.48,   12.22,   9.162
145,0,    11.92,   372.8,   39.73,   70.75,   53.06
145,1,    9.068,   259.1,   40.35,   51.42,   38.56
145,2,    6.381,   128.5,   34.48,   28.22,   21.17
145,3,    3.133,   37.35,    36.6,   12.85,   9.636
150,0,    12.41,   396.6,   39.73,   74.79,   56.09
150,1,    9.208,   267.3,   40.35,    52.8,    39.6
150,2,    6.464,   133.5,   34.73,   29.12,   21.84
150,3,    3.193,   40.96,   36.73,   13.48,   10.11
155,0,    12.84,   415.4,   39.73,      78,    58.5
155,1,    9.429,   280.5,   40.48,   55.07,    41.3
155,2,    6.546,   138.5,   34.85,   29.99,   22.49
