timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,      8.5,   9.646,   33.73,   8.645,   6.484
40,1,     4.48,    20.3,   33.85,   9.772,   7.329
40,2,    3.307,   28.31,   28.73,   10.06,   7.543
40,3,    2.585,    32.2,   31.48,   11.04,   8.282
45,0,    10.87,   12.19,    34.6,   9.609,   7.206
45,1,     5.62,   26.25,   34.48,   11.06,   8.294
45,2,    3.872,   37.55,   29.48,   11.82,   8.863
45,3,    3.031,   42.06,   32.23,   12.89,   9.665
50,0,    13.24,   14.47,    35.1,   10.47,   7.851
50,1,    6.539,    32.7,    34.6,   12.31,   9.229
50,2,    4.143,   47.73,   29.48,   13.56,   10.17
50,3,    3.195,   52.68,   32.35,    14.7,   11.03
55,0,    15.67,   16.33,   35.48,   11.25,   8.434
55,1,    7.446,   39.28,   34.98,   13.62,   10.21
55,2,    4.306,   58.24,   29.85,    15.4,   11.55
55,3,    3.347,   63.24,    32.6,   16.53,    12.4
60,0,    18.06,   18.16,    35.6,   11.97,   8.978
60,1,    8.231,   46.09,    35.1,    14.9,   11.18
60,2,    4.459,   68.76,    30.1,   17.22,   12.91
60,3,    3.495,   73.78,   32.73,   18.33,   13.75
65,0,    20.49,   19.99,   35.85,   12.72,   9.541
65,1,    9.013,   52.95,   35.35,   16.22,   12.16
65,2,    4.611,   79.33,   30.35,   19.05,   14.29
65,3,    3.641,   84.37,   32.85,   20.14,   15.11
70,0,    22.89,   21.82,   35.98,   13.45,   10.09
70,1,    9.791,   59.85,    35.6,   17.54,   13.16
70,2,     4.76,   89.92,    30.6,   20.88,   15.66
70,3,    3.786,   95.01,    33.1,   21.98,   16.49
75,0,    25.28,   23.69,    36.1,   14.18,   10.63
75,1,    10.59,   66.74,    36.1,   18.91,   14.18
75,2,    4.909,   100.6,   30.85,   22.73,   17.04
75,3,     3.93,   105.7,   33.35,   23.84,   17.88
80,0,    27.39,   26.27,    36.1,   14.96,   11.22
80,1,    11.65,   72.86,    36.6,   20.18,   15.14
80,2,    5.066,   111.4,    31.1,   24.59,   18.44
80,3,    4.099,   116.4,   33.48,   25.67,   19.25
85,0,    29.58,   28.54,   36.23,   15.72,   11.79
85,1,     12.6,   79.06,   36.85,   21.42,   16.06
85,2,    5.338,   121.4,   31.35,   26.35,   19.76
85,3,    4.316,   126.3,    33.6,   27.37,   20.53
90,0,    31.54,   31.19,   36.23,   16.49,   12.37
90,1,    13.54,   84.94,    37.1,    22.6,   16.95
90,2,    5.963,   130.3,   31.98,   28.03,   21.03
90,3,     4.58,   135.5,   33.85,   28.99,   21.74
95,0,    33.25,    34.2,   36.23,   17.28,   12.96
95,1,    14.58,   90.37,   37.23,   23.69,   17.77
95,2,    6.665,   138.5,   32.23,   29.57,   22.17
95,3,    5.015,   143.8,   34.23,   30.51,   22.88
100,0,    34.72,   37.54,   36.23,   18.08,   13.56
100,1,    15.61,   95.63,   37.35,   24.76,   18.57
100,2,    7.441,   146.2,   32.73,   31.07,    23.3
100,3,    5.753,   151.1,   34.48,   31.88,   23.91
105,0,    35.92,   41.29,    36.1,   18.89,   14.16
105,1,    16.65,   100.7,   37.48,    25.8,   19.35
105,2,     8.59,   152.8,    33.1,   32.41,   24.31
105,3,     6.54,   157.8,   34.73,   33.18,   24.88
110,0,    37.04,   45.31,   36.23,   19.76,   14.82
110,1,    17.85,   105.3,   37.85,   26.84,   20.13
110,2,    9.955,   158.4,   33.48,   33.64,   25.23
110,3,    7.502,   163.9,    35.1,   34.41,   25.81
115,0,    38.07,   49.55,   36.73,   20.72,   15.54
115,1,    19.16,   109.7,   37.48,   27.72,   20.79
115,2,    11.55,   163.2,    33.6,   34.72,   26.04
115,3,    8.706,   169.2,   35.23,   35.52,   26.64
120,0,    39.26,   53.54,   36.98,   21.63,   16.22
120,1,    20.37,   114.2,   37.73,   28.72,   21.54
120,2,     13.3,   167.2,   33.98,   35.74,    26.8
120,3,     10.2,   173.5,   35.48,   36.53,    27.4
125,0,    40.32,   57.65,   36.85,   22.47,   16.85
125,1,    21.75,   118.5,   37.73,   29.66,   22.24
125,2,    15.14,   170.8,    34.1,   36.67,    27.5
125,3,    11.91,   177.8,   36.23,   37.65,   28.24
130,0,    41.38,   61.29,    36.6,   23.21,   17.41
130,1,    23.15,   122.2,   37.48,   30.48,   22.86
130,2,    16.72,   174.5,   33.73,   37.48,   28.11
130,3,    13.78,   181.4,   36.48,   38.61,   28.96
135,0,    42.42,   64.55,   36.73,   23.95,   17.96
135,1,    24.44,   125.6,   37.73,   31.29,   23.47
135,2,    18.58,   177.6,   33.85,   38.33,   28.75
135,3,    15.68,   184.9,   36.48,    39.5,   29.63
140,0,    43.61,   67.64,   36.85,   24.68,   18.51
140,1,    25.77,   128.9,   37.98,   32.12,   24.09
140,2,    20.65,   180.3,    34.1,   39.17,   29.38
140,3,    17.41,     189,    36.6,    40.5,   30.38
145,0,    44.81,   70.29,   36.98,   25.35,   19.01
145,1,    27.14,   131.8,   38.23,   32.86,   24.64
145,2,    22.56,   183.1,   34.48,   40.03,   30.02
145,3,    19.26,   194.1,   36.85,   41.71,   31.28
150,0,    45.93,   72.86,   36.73,   25.92,   19.44
150,1,     28.4,   134.7,   37.85,   33.49,   25.12
150,2,    24.36,   186.1,    34.1,   40.76,   30.57
150,3,    21.21,   199.1,   36.48,   42.79,   32.09
