scheduler,timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
tas,40,0,5.359,19.78,38.73,10.64,7.982
tas,40,1,2.863,26.58,39.6,11.51,8.63
tas,40,2,8.219,13.75,35.98,9.657,7.243
tas,40,3,3.298,26.52,36.73,11.09,8.318
tas,45,0,6.52,26.32,39.35,12.03,9.024
tas,45,1,3.344,34.74,40.1,13.03,9.773
tas,45,2,10.94,16.43,36.98,10.72,8.042
tas,45,3,3.858,35.38,37.23,12.74,9.558
tas,50,0,7.465,33.34,39.48,13.38,10.03
tas,50,1,3.527,43.57,40.1,14.53,10.9
tas,50,2,13.75,18.68,37.48,11.65,8.739
tas,50,3,4.112,45.08,36.98,14.36,10.77
tas,55,0,8.253,40.71,39.6,14.76,11.07
tas,55,1,3.661,52.43,40.23,16.05,12.04
tas,55,2,16.92,19.8,37.6,12.39,9.289
tas,55,3,4.261,55.35,37.1,16.12,12.09
tas,60,0,8.927,48.35,39.73,16.17,12.13
tas,60,1,3.787,61.13,40.35,17.54,13.16
tas,60,2,20.1,20.9,37.85,13.14,9.856
tas,60,3,4.406,65.61,37.1,17.85,13.39
tas,65,0,9.598,55.97,39.85,17.57,13.18
tas,65,1,3.912,69.91,40.48,19.05,14.29
tas,65,2,23.29,22.01,38.1,13.9,10.43
tas,65,3,4.548,75.86,37.35,19.63,14.72
tas,70,0,10.27,63.68,39.98,18.99,14.24
tas,70,1,4.034,78.59,40.6,20.54,15.4
tas,70,2,26.47,23.13,38.35,14.66,10.99
tas,70,3,4.689,86.08,37.6,21.4,16.05
tas,75,0,10.94,71.36,40.1,20.4,15.3
tas,75,1,4.155,87.25,40.73,22.02,16.52
tas,75,2,29.63,24.25,38.6,15.41,11.56
tas,75,3,4.829,96.36,37.85,23.17,17.38
tas,80,0,11.61,79.08,40.1,21.8,16.35
tas,80,1,4.286,95.87,40.85,23.5,17.63
tas,80,2,32.77,25.37,38.85,16.16,12.12
tas,80,3,4.968,106.9,38.1,24.99,18.74
tas,85,0,12.26,86.52,40.1,23.15,17.36
tas,85,1,4.417,104.7,40.98,25.01,18.76
tas,85,2,35.87,26.49,38.85,16.87,12.65
tas,85,3,5.169,116.8,38.35,26.72,20.04
tas,90,0,12.87,94.09,40.1,24.51,18.38
tas,90,1,4.587,113.3,41.1,26.5,19.87
tas,90,2,38.98,27.59,38.85,17.57,13.18
tas,90,3,5.417,126,38.6,28.33,21.25
tas,95,0,13.43,101.8,40.1,25.88,19.41
tas,95,1,4.821,121.6,41.1,27.92,20.94
tas,95,2,42.05,28.68,39.1,18.31,13.73
tas,95,3,5.709,134.6,38.85,29.86,22.4
tas,100,0,13.96,109,40.23,27.19,20.39
tas,100,1,5.191,129.4,41.1,29.28,21.96
tas,100,2,45.03,29.89,39.23,19.02,14.27
tas,100,3,6.067,142.8,39.1,31.32,23.49
tas,105,0,14.47,115.9,40.35,28.45,21.34
tas,105,1,5.611,136.8,41.23,30.6,22.95
tas,105,2,48.05,31.07,39.35,19.74,14.81
tas,105,3,6.486,150.4,39.23,32.69,24.52
tas,110,0,15.04,122.3,40.6,29.65,22.24
tas,110,1,6.171,143.9,41.6,31.94,23.96
tas,110,2,50.89,32.61,39.1,20.43,15.33
tas,110,3,7.034,157.6,39.35,33.99,25.49
tas,115,0,15.83,128.2,40.98,30.84,23.13
tas,115,1,6.896,150.3,41.48,33.11,24.84
tas,115,2,53.5,34.6,38.6,21.12,15.84
tas,115,3,7.764,163.7,39.1,35.09,26.32
tas,120,0,16.74,133.7,41.1,31.92,23.94
tas,120,1,7.803,156.5,41.73,34.34,25.75
tas,120,2,56.04,37,38.35,21.9,16.42
