timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,    3.712,    2.04,   36.23,   6.996,   5.247
40,1,      7.9,    3.31,   36.73,   7.989,   5.992
40,2,    1.037,  0.6081,    30.1,   5.291,   3.968
40,3,   0.2335,  0.2445,    33.1,   5.596,   4.197
45,0,    5.255,   2.937,   36.23,   7.403,   5.552
45,1,    9.923,   4.228,   36.85,     8.5,   6.375
45,2,    1.385,  0.8188,   30.85,   5.509,   4.132
45,3,   0.3128,   0.341,   33.35,   5.667,    4.25
50,0,    6.993,   3.974,    37.1,   8.011,   6.008
50,1,    11.81,   5.068,   37.35,   9.038,   6.779
50,2,    1.889,   1.107,    31.1,   5.683,   4.262
50,3,      0.4,  0.4551,    33.6,   5.743,   4.307
55,0,    8.738,   5.028,   36.73,   8.415,   6.311
55,1,    13.45,   5.825,   36.48,   9.292,   6.969
55,2,    2.339,   1.374,   30.98,   5.781,   4.336
55,3,   0.4819,  0.5638,   33.48,   5.753,   4.315
60,0,    10.57,   6.139,   36.98,   8.947,    6.71
60,1,    14.71,   6.482,   37.23,   9.736,   7.302
60,2,    3.176,   1.763,   30.98,   5.986,   4.489
60,3,   0.5562,  0.6729,   33.23,   5.742,   4.307
65,0,    12.44,   7.276,   36.85,   9.428,   7.071
65,1,    15.88,   7.121,   37.35,   10.06,   7.544
65,2,    4.024,   2.151,    31.1,   6.213,   4.659
65,3,   0.6518,  0.8106,   33.35,   5.802,   4.352
70,0,    14.07,   8.295,   36.85,   9.869,   7.402
70,1,    17.44,   7.988,   37.48,   10.48,   7.863
70,2,    4.791,   2.504,   31.23,    6.42,   4.815
70,3,   0.7167,  0.9343,   33.48,   5.854,   4.391
75,0,    15.54,   9.238,   36.85,   10.27,   7.704
75,1,    19.17,   8.984,   37.48,   10.94,   8.204
75,2,    5.494,   2.855,   31.23,   6.596,   4.947
75,3,   0.8132,   1.075,    33.6,   5.915,   4.436
80,0,    16.88,   10.11,   36.73,   10.62,   7.965
80,1,    20.83,   9.942,   37.48,   11.38,   8.531
80,2,    6.172,   3.189,   31.23,   6.764,   5.073
80,3,    0.922,   1.217,    33.6,   5.957,   4.467
MARK: log cycle at timestamp 80
